sample,taxa,empP,circa_p,people,sum,number_exist,p,group,cluster
Prevotella.scopos_P27,Prevotella.scopos,0.068931069,0.028775117,P27,0.012761401,4,0.028775117,rhythem,cluster1
Prevotella.sp..oral.taxon.299_P05,Prevotella.sp..oral.taxon.299,0.103896104,0.141838753,P05,0.000816855,4,0.103896104,rhythem,cluster1
Prevotella.sp..oral.taxon.299_P06,Prevotella.sp..oral.taxon.299,0.230769231,0.009757726,P06,0.170335035,6,0.009757726,rhythem,cluster1
Prevotella.sp..oral.taxon.299_P08,Prevotella.sp..oral.taxon.299,0.034965035,0.011405291,P08,0.028106171,8,0.011405291,rhythem,cluster1
Prevotella.sp..oral.taxon.299_P09,Prevotella.sp..oral.taxon.299,0.103896104,0.041483828,P09,0.000684904,4,0.041483828,rhythem,cluster1
Prevotella.sp..oral.taxon.299_P16,Prevotella.sp..oral.taxon.299,0.230769231,0.00397122,P16,0.112523648,8,0.00397122,rhythem,cluster1
Prevotella.sp..oral.taxon.299_P17,Prevotella.sp..oral.taxon.299,0.126873127,0.019342885,P17,0.075864964,6,0.019342885,rhythem,cluster1
Prevotella.sp..oral.taxon.299_P18,Prevotella.sp..oral.taxon.299,0.216783217,0.021148542,P18,0.043890297,5,0.021148542,rhythem,cluster1
Prevotella.sp..oral.taxon.299_P20,Prevotella.sp..oral.taxon.299,0.350649351,0.00564872,P20,0.179261897,7,0.00564872,rhythem,cluster1
Prevotella.sp..oral.taxon.299_P21,Prevotella.sp..oral.taxon.299,0.030969031,0.005565485,P21,0.041267895,5,0.005565485,rhythem,cluster1
Prevotella.sp..oral.taxon.299_P22,Prevotella.sp..oral.taxon.299,0.125069836,0.011526898,P22,0.035575497,8,0.011526898,rhythem,cluster1
Prevotella.sp..oral.taxon.299_P23,Prevotella.sp..oral.taxon.299,0.350649351,0.127981352,P23,0.15677538,8,0.127981352,rhythem,cluster1
Prevotella.sp..oral.taxon.299_P24,Prevotella.sp..oral.taxon.299,0.230769231,0.113567876,P24,0.119850313,8,0.113567876,rhythem,cluster1
Prevotella.sp..oral.taxon.299_P25,Prevotella.sp..oral.taxon.299,0.216783217,0.009129692,P25,0.049937498,8,0.009129692,rhythem,cluster1
Prevotella.sp..oral.taxon.299_P26,Prevotella.sp..oral.taxon.299,0.027972028,0.060579418,P26,0.617832151,8,0.060579418,rhythem,cluster1
Prevotella.sp..oral.taxon.299_P27,Prevotella.sp..oral.taxon.299,0.137862138,0.137301801,P27,0.34088612,7,0.137862138,rhythem,cluster1
Prevotella.sp..oral.taxon.475_P16,Prevotella.sp..oral.taxon.475,0.068931069,0.068030628,P16,0.002623656,4,0.038961039,rhythem,cluster1
Prevotella.sp..oral.taxon.475_P17,Prevotella.sp..oral.taxon.475,0.060939061,0.044288529,P17,0.07536078,8,0.030969031,rhythem,cluster1
