taxa,empP,circa_p,people,day1_9,day1_13,day1_17,day1_21,day2_9,day2_13,day2_17,day2_21,sum,number_exist,p,group1,group2,group3,group4
Actinomyces.sp..oral.taxon.897,0.125069836,0.058604575,P26,0.005681041,0.00030014,0.000133205,0.000674104,0.006470829,0.004064932,0.002461773,0.00412119,0.023907214,8,0.058604575,P26,Actinomyces.sp..oral.taxon.897,set2,Actinomyces
Actinomyces.sp..oral.taxon.897,0.060939061,0.05216926,P24,0.001811071,0.000114504,5.73E-05,0.000148182,0.005751756,4.90E-05,3.41E-05,0.000112818,0.008078731,8,0.05216926,P24,Actinomyces.sp..oral.taxon.897,set2,Actinomyces
Actinomyces.sp..oral.taxon.897,0.060939061,0.048269537,P22,0.000808938,0.00037798,0.000359881,0.000625911,0.00048427,0.000410338,0.000136006,0.000389548,0.003592872,8,0.048269537,P22,Actinomyces.sp..oral.taxon.897,set2,Actinomyces
Actinomyces.sp..oral.taxon.897,0.076767858,0.035702096,P08,0.001976006,0.000704145,0.000110739,0.000771548,0.000816546,0.000342677,3.46E-05,0.001751768,0.006508029,8,0.034965035,P08,Actinomyces.sp..oral.taxon.897,set1,Actinomyces
Actinomyces.sp..oral.taxon.897,0.137862138,0.03019042,P27,0.002107913,1.48E-05,0.000901534,8.53E-05,0.002629162,0.00047464,0,0,0.006213349,6,0.03019042,P27,Actinomyces.sp..oral.taxon.897,set2,Actinomyces
Actinomyces.sp..oral.taxon.897,0.137862138,0.025609304,P06,0.006165514,0.005146986,0,0.00176902,0.008054867,0,0.001418428,0.000109,0.022663815,6,0.025609304,P06,Actinomyces.sp..oral.taxon.897,set2,Actinomyces
Actinomyces.sp..oral.taxon.897,0.216783217,0.016409028,P13,9.07E-05,0.000361434,3.54E-05,0.0038274,0.000226162,0.000177581,0.000122749,0.002453788,0.007295214,8,0.016409028,P13,Actinomyces.sp..oral.taxon.897,set2,Actinomyces
Actinomyces.sp..oral.taxon.897,0.068931069,0.002772934,P20,0.003002278,0.000980856,0.000192018,0.000547526,0.00251649,0.000193564,0,0,0.007432732,6,0.002772934,P20,Actinomyces.sp..oral.taxon.897,set2,Actinomyces
Bacteroides.heparinolyticus,0.508491508,0.066527005,P23,0.002141897,0.000763802,0.000431627,0.001577713,0.002060304,0.000319634,0.000888341,0,0.008183318,7,0.066527005,P23,Bacteroides.heparinolyticus,set2,Bacteroides
Bacteroides.heparinolyticus,0.008991009,0.009974012,P17,0.003888628,0.000414248,0,0,0.002010805,0.001355031,0,0,0.007668712,4,0.009974012,P17,Bacteroides.heparinolyticus,set2,Bacteroides
Capnocytophaga.gingivalis,0.125069836,0.119815357,P26,0.013742818,0.002915967,0.001549385,0.002545128,0.020801204,0.003288715,0.001195577,0.046587485,0.092626279,8,0.119815357,P26,Capnocytophaga.gingivalis,set2,Capnocytophaga
Capnocytophaga.gingivalis,0.125069836,0.115017025,P21,0.049941557,0.00303985,0.022942856,0.006298992,0.037197197,0.001937103,0.017849324,0.020615985,0.159822864,8,0.115017025,P21,Capnocytophaga.gingivalis,set2,Capnocytophaga
Capnocytophaga.gingivalis,0.137862138,0.106780287,P19,0.000340801,0.000658933,0.000282627,0.000147256,0.00142576,0.000524196,0.000152652,0.000312553,0.003844778,8,0.106780287,P19,Capnocytophaga.gingivalis,set2,Capnocytophaga
Capnocytophaga.gingivalis,0.125069836,0.114603779,P14,0.001044928,0.001337235,0.001225346,0.01425805,0.001649841,0.004146296,2.93E-05,0.00541608,0.029107076,8,0.068931069,P14,Capnocytophaga.gingivalis,set2,Capnocytophaga
Capnocytophaga.gingivalis,0.216783217,0.060923159,P17,0.02189154,0.004671915,0.01575487,0.013412606,0.057443308,0.01056291,0.001964864,0.025063241,0.150765254,8,0.060923159,P17,Capnocytophaga.gingivalis,set2,Capnocytophaga
Capnocytophaga.gingivalis,0.060939061,0.058649915,P13,0.004440804,0.012209336,0.002960299,0.12391072,0.004352617,0.004061822,0.0022367,0.044641263,0.198813561,8,0.058649915,P13,Capnocytophaga.gingivalis,set2,Capnocytophaga
Capnocytophaga.gingivalis,0.216783217,0.054697948,P23,0.008881408,0,0.001192901,0.002339828,0.004691859,0.000576721,0.003055,0.002881031,0.023618748,7,0.054697948,P23,Capnocytophaga.gingivalis,set2,Capnocytophaga
Capnocytophaga.gingivalis,0.034965035,0.135837414,P05,1.23E-05,0,0.002261258,0.002662141,8.37E-05,2.89E-06,3.38E-05,0.000466573,0.005522662,7,0.034965035,P05,Capnocytophaga.gingivalis,set1,Capnocytophaga
Capnocytophaga.gingivalis,0.076767858,0.034638006,P08,0.040512877,0.03086699,0.015700683,0.042269184,0.026334498,0.013526871,0.000308511,0.054133289,0.223652903,8,0.034638006,P08,Capnocytophaga.gingivalis,set1,Capnocytophaga
Capnocytophaga.gingivalis,0.216783217,0.026927992,P24,0.005011206,0.000561797,0.000169039,0.00016714,0.010011796,0.000103892,0.001032422,0.001423029,0.018480321,8,0.026927992,P24,Capnocytophaga.gingivalis,set2,Capnocytophaga
Capnocytophaga.gingivalis,0.125069836,0.02065773,P20,0.012253333,0.004191621,0.002160426,0.003912348,0.023233197,0.000734262,0.002128903,0.012773995,0.061388085,8,0.02065773,P20,Capnocytophaga.gingivalis,set2,Capnocytophaga
Cardiobacterium.hominis,0.125069836,0.121122492,P21,0.077044079,0.001198239,0.001246372,0.001580589,0.012222625,0.000716294,0.003202812,0.002839425,0.100050435,8,0.121122492,P21,Cardiobacterium.hominis,set2,Cardiobacterium
Cardiobacterium.hominis,0.027972028,0.112618785,P19,0.001007074,0.000934593,0.000305328,0.00040438,0.005665183,0.001754861,0.000488214,0.00015122,0.010710853,8,0.112618785,P19,Cardiobacterium.hominis,set2,Cardiobacterium
Cardiobacterium.hominis,0.350649351,0.111099953,P17,0.006865104,0.000889101,0.003104397,0.002083453,0.002161398,0.000698422,0.000236832,0.004871654,0.020910361,8,0.111099953,P17,Cardiobacterium.hominis,set2,Cardiobacterium
Cardiobacterium.hominis,0.137862138,0.085630345,P23,0.002205204,0.000576309,0.001460463,0,0.002597775,0.000341252,0.000815488,0,0.007996491,6,0.085630345,P23,Cardiobacterium.hominis,set2,Cardiobacterium
Cardiobacterium.hominis,0.216783217,0.078005293,P22,0.000680513,0.000922656,0.000385392,0.001396681,0.000341214,0.000229935,0.000182386,0.001308214,0.005446991,8,0.078005293,P22,Cardiobacterium.hominis,set2,Cardiobacterium
Cardiobacterium.hominis,0.350649351,0.060473942,P13,0.003701381,0.006354743,0.000356472,0.012455483,0.000741553,0.000661955,0.001507751,0.011123542,0.03690288,8,0.060473942,P13,Cardiobacterium.hominis,set2,Cardiobacterium
Cardiobacterium.hominis,0.350649351,0.028975779,P14,0.000338665,0.00037256,0.004176326,0.005658839,0.002760199,0.000934168,7.78E-06,0.010449209,0.024697746,8,0.028975779,P14,Cardiobacterium.hominis,set2,Cardiobacterium
Cardiobacterium.hominis,0.034965035,0.058835524,P08,0.005055236,0.001099693,0.000211057,0.00154307,0.001530064,0.000386743,0.000170424,0.0054411,0.015437387,8,0.021978022,P08,Cardiobacterium.hominis,set1,Cardiobacterium
Cardiobacterium.hominis,0.027972028,0.00476657,P26,0.006764116,0.002222341,0.001186087,0.008555483,0.01053946,0.005020277,0.001716178,0.007359282,0.043363224,8,0.00476657,P26,Cardiobacterium.hominis,set2,Cardiobacterium
Cardiobacterium.hominis,0.027972028,0.003476573,P24,0.002854068,0.000282938,0.000101286,0.000542878,0.003419207,0.000159905,0.000142286,0.000154563,0.007657131,8,0.003476573,P24,Cardiobacterium.hominis,set2,Cardiobacterium
Cardiobacterium.hominis,0.027972028,0.002925801,P20,0.005224115,0.000679679,0.000392185,0.00100522,0.006587153,0.000209135,0.000310545,0.001588931,0.015996963,8,0.002925801,P20,Cardiobacterium.hominis,set2,Cardiobacterium
Caudovirales.sp.,0.068931069,0.114525122,P19,3.91E-05,9.83E-06,5.77E-06,0,0.000188623,0.000131419,3.01E-05,6.06E-06,0.000410902,7,0.114525122,P19,Caudovirales.sp.,set2,unclassified Caudovirales
Caudovirales.sp.,0.508491508,0.045709137,P06,0.009281128,0.000722085,0.002613591,0.001838621,0.00710659,0.000404238,0.002073606,0.00015511,0.024194969,8,0.045709137,P06,Caudovirales.sp.,set2,unclassified Caudovirales
Caudovirales.sp.,0.182817183,0.023183842,P08,0.000818063,0.000411228,7.27E-05,0,0.001170442,0.00015773,6.40E-06,0.000742407,0.00337897,7,0.023183842,P08,Caudovirales.sp.,set1,unclassified Caudovirales
Caudovirales.sp.,0.125069836,0.020487102,P21,0.005140846,0.000157338,0.000716195,0.000224546,0.006031105,0.00014208,0.001272049,0.000792869,0.014477028,8,0.020487102,P21,Caudovirales.sp.,set2,unclassified Caudovirales
Caudovirales.sp.,0.137862138,0.016912266,P23,0.00418034,0.001845757,0.001022885,0.002540385,0.003715512,0.000694347,0.002223203,0.005018216,0.021240645,8,0.016912266,P23,Caudovirales.sp.,set2,unclassified Caudovirales
Caudovirales.sp.,0.060939061,0.014415507,P26,0.0054818,0.000601108,7.00E-05,0.000291939,0.005520683,0.000628518,0.000232219,0.004923254,0.017749521,8,0.014415507,P26,Caudovirales.sp.,set2,unclassified Caudovirales
Caudovirales.sp.,0.182817183,0.065766194,P09,0.000133201,2.47E-06,3.49E-05,0.000522054,0.000490791,0.000162859,0.000181845,0.000260045,0.001788165,8,0.013986014,P09,Caudovirales.sp.,set1,unclassified Caudovirales
Caudovirales.sp.,0.216783217,0.009632036,P14,0.00014873,0.000172254,0.000223483,0.002805639,0.000282076,0.000344898,1.57E-05,0.002264303,0.006257083,8,0.009632036,P14,Caudovirales.sp.,set2,unclassified Caudovirales
Caudovirales.sp.,0.125069836,0.060777981,P24,0.001333309,0.00016798,4.59E-05,5.25E-05,0.004701414,2.01E-05,1.46E-05,9.73E-05,0.006433103,8,0.008991009,P24,Caudovirales.sp.,set2,unclassified Caudovirales
Corynebacterium.matruchotii,0.125069836,0.126798311,P22,0.000302582,0.000223232,0.000117601,0.00061566,0.000222178,0.000234628,0,0.000251267,0.001967148,7,0.125069836,P22,Corynebacterium.matruchotii,set2,Corynebacterium
Corynebacterium.matruchotii,0.350649351,0.060941409,P14,0.000170809,0.00053945,0.001039247,0.00542901,0.000858557,0.000366454,1.20E-05,0.001972516,0.010388043,8,0.060941409,P14,Corynebacterium.matruchotii,set2,Corynebacterium
Corynebacterium.matruchotii,0.030969031,0.11235496,P19,0.000141864,5.48E-05,4.52E-05,2.65E-05,0.000575428,0.000353748,0.000125273,3.56E-05,0.001358413,8,0.060939061,P19,Corynebacterium.matruchotii,set2,Corynebacterium
Corynebacterium.matruchotii,0.508491508,0.04185109,P17,0.003590969,0.002297303,0,0.001390055,0.001954892,0,0,0.002159199,0.011392418,5,0.04185109,P17,Corynebacterium.matruchotii,set2,Corynebacterium
Corynebacterium.matruchotii,0.068931069,0.025777317,P27,0.003658038,9.46E-05,0.001111558,0,0.002757198,0.00063716,0,0,0.008258554,5,0.025777317,P27,Corynebacterium.matruchotii,set2,Corynebacterium
Corynebacterium.matruchotii,0.060939061,0.02221446,P26,0.005972248,0.001228652,0.000462126,0.000961566,0.011099823,0.005989762,0.001656071,0,0.027370248,7,0.02221446,P26,Corynebacterium.matruchotii,set2,Corynebacterium
Corynebacterium.matruchotii,0.125069836,0.010072396,P24,0.00135542,0.000184899,6.49E-05,0.00018233,0.002212433,7.17E-05,4.21E-05,0,0.004113782,7,0.010072396,P24,Corynebacterium.matruchotii,set2,Corynebacterium
Corynebacterium.matruchotii,0.068931069,0.009645116,P21,0.001379702,0.000452766,0,0.000122018,0.00234726,0.000132697,0,0.000918918,0.005353361,6,0.009645116,P21,Corynebacterium.matruchotii,set2,Corynebacterium
Corynebacterium.matruchotii,0.216783217,0.009386523,P13,0.000263305,0.000403764,0,0.00286912,0.000115797,7.55E-05,4.95E-05,0.003378563,0.007155549,7,0.009386523,P13,Corynebacterium.matruchotii,set2,Corynebacterium
Corynebacterium.matruchotii,0.068931069,0.004471477,P20,0.006846047,0.003931536,0,0.000839912,0.007509518,0,0,0.001351122,0.020478135,5,0.004471477,P20,Corynebacterium.matruchotii,set2,Corynebacterium
Gemella.haemolysans,0.350649351,0.12918324,P13,0.05684471,0.02441346,0.03790205,0.25285633,0.33569695,0.2511397,0.07945041,0.48452262,1.52282623,8,0.12918324,P13,Gemella.haemolysans,set2,Gemella
Gemella.haemolysans,0.576423576,0.102423863,P03,0.00553693,0.001085066,0.056318956,0.199489409,0.000546004,0.001015924,0.000523116,0.036659762,0.301175167,8,0.102423863,P03,Gemella.haemolysans,set1,Gemella
Gemella.haemolysans,0.216783217,0.062216431,P19,0.015558936,0.001665404,0.000909278,0.006211681,0.02921934,0.022282567,0.003086753,0.00283519,0.081769149,8,0.062216431,P19,Gemella.haemolysans,set2,Gemella
Gemella.haemolysans,0.350649351,0.053885725,P25,0.008756666,0.000131837,0.000997499,0.003599319,0.005073522,0.000840267,0.002382781,0.000305777,0.022087668,8,0.053885725,P25,Gemella.haemolysans,set2,Gemella
Gemella.haemolysans,0.125069836,0.053253374,P14,0.187858954,0.020194817,0.076696469,0.041220754,0.474086361,0.015891652,0.000310167,0.027885839,0.844145013,8,0.053253374,P14,Gemella.haemolysans,set2,Gemella
Gemella.haemolysans,0.068931069,0.03763103,P22,0.00519246,0.017264227,0.023713792,0.095020867,0.011673694,0.007126421,0.061981563,0.03831297,0.260285994,8,0.03763103,P22,Gemella.haemolysans,set2,Gemella
Gemella.haemolysans,0.137862138,0.03430641,P15,0.003812894,0.015521413,0.154776976,0.289083243,0.060652696,0.077923317,0.152833127,0.101575203,0.856178869,8,0.03430641,P15,Gemella.haemolysans,set2,Gemella
Gemella.haemolysans,0.030969031,0.029611436,P20,0.093187408,0.010420112,0.020322509,0.080574656,0.230700896,0.005795324,0.0370644,0.236417033,0.714482338,8,0.029611436,P20,Gemella.haemolysans,set2,Gemella
Gemella.haemolysans,0.182817183,0.022231978,P09,0.000364442,3.00E-05,0.000658985,0.015679629,0.001523274,0.001845226,0.002563021,0.007984192,0.030648769,8,0.022231978,P09,Gemella.haemolysans,set1,Gemella
Gemella.haemolysans,0.230769231,0.021106278,P27,0.290645566,0.000721019,0.093008965,0.004763577,0.344690659,0.06599142,0.025976192,0.025578095,0.851375493,8,0.021106278,P27,Gemella.haemolysans,set2,Gemella
Gemella.haemolysans,0.327672328,0.020764875,P08,0.04489261,0.03298941,0.39224864,1.09442456,0.10447089,0.21223439,0.02814483,2.05833095,3.96773628,8,0.020764875,P08,Gemella.haemolysans,set1,Gemella
Gemella.haemolysans,0.013986014,0.098673515,P07,0.00498227,0.000567591,0.1822154,1.456000324,0.015964058,0.014967661,0.130040916,0.24641388,2.0511521,8,0.013986014,P07,Gemella.haemolysans,set1,Gemella
Gemella.haemolysans,0.030969031,0.012359324,P23,0.048515052,0.011878468,0.020513433,0.051343993,0.043881017,0.006812144,0.040075295,0.045761826,0.268781228,8,0.012359324,P23,Gemella.haemolysans,set2,Gemella
Gemella.haemolysans,0.047952048,0.004698344,P11,0.01087036,0.000514189,0.002128639,0.148819884,0.001295589,0.000925573,0.066751318,0.207191705,0.438497257,8,0.004698344,P11,Gemella.haemolysans,set1,Gemella
Gemella.haemolysans,0.021978022,0.002731239,P05,6.30E-05,0.000206437,0.007409049,0.008353211,0.001772279,9.41E-05,0.003403346,0.011623113,0.032924535,8,0.002731239,P05,Gemella.haemolysans,set1,Gemella
Gemella.haemolysans,0.060939061,0.000381765,P26,0.09001035,0.02169034,0.01251082,0.19752084,0.11590494,0.02365265,0.03888878,0.16972866,0.66990738,8,0.000381765,P26,Gemella.haemolysans,set2,Gemella
Haemophilus.haemolyticus,0.350649351,0.129429495,P06,0.010581,0,0.004278824,0,0.029876352,0,0.006759529,0.00025847,0.051754175,5,0.129429495,P06,Haemophilus.haemolyticus,set2,Haemophilus
Haemophilus.haemolyticus,0.182817183,0.106827196,P09,0.000281641,4.17E-06,0.000105022,0.003650628,0.000446566,0.000169609,0.00095031,0.00070636,0.006314306,8,0.076767858,P09,Haemophilus.haemolyticus,set1,Haemophilus
Haemophilus.haemolyticus,0.125069836,0.099312799,P17,0.03667793,0.01009488,0.10609314,0.06601022,0.07382857,0.01437987,0.03017099,0.1486692,0.4859248,8,0.060939061,P17,Haemophilus.haemolyticus,set2,Haemophilus
Haemophilus.haemolyticus,0.068931069,0.048540973,P19,0.000561587,6.85E-05,4.05E-05,0,0.001580102,0,5.06E-05,3.60E-05,0.002337289,6,0.048540973,P19,Haemophilus.haemolyticus,set2,Haemophilus
Haemophilus.haemolyticus,0.216783217,0.042860257,P13,0.000205168,0.000273843,0.000189116,0.037190769,0.011985684,0.006688064,0.003383155,0.017938467,0.077854266,8,0.042860257,P13,Haemophilus.haemolyticus,set2,Haemophilus
Haemophilus.haemolyticus,0.027972028,0.035627867,P14,0.001048332,0.000364732,0.00076977,0.008401072,0.00155309,0.001094367,0,0.003717094,0.016948457,7,0.035627867,P14,Haemophilus.haemolyticus,set2,Haemophilus
Haemophilus.haemolyticus,0.021978022,0.18457068,P07,0.00096023,3.21E-05,0.038814778,0.241765194,0.00026588,3.21E-05,0.007810521,0.005738154,0.295418957,8,0.021978022,P07,Haemophilus.haemolyticus,set1,Haemophilus
Haemophilus.haemolyticus,0.060939061,0.019401406,P26,0.016882202,0.001337321,0.000632478,0.004705293,0.036232773,0.000844568,0.00182654,0.007512875,0.06997405,8,0.019401406,P26,Haemophilus.haemolyticus,set2,Haemophilus
Haemophilus.haemolyticus,0.021978022,0.015062962,P08,0.005112047,0.000297205,0.000687657,0.007439813,0.001387935,0.000498905,7.98E-05,0.014459022,0.029962384,8,0.015062962,P08,Haemophilus.haemolyticus,set1,Haemophilus
Haemophilus.haemolyticus,0.076767858,0.009669156,P11,0.001892777,5.37E-05,0.000369819,0.007379466,4.32E-05,4.97E-05,0.00558737,0.009456103,0.024832135,8,0.009669156,P11,Haemophilus.haemolyticus,set1,Haemophilus
Haemophilus.haemolyticus,0.030969031,0.006948007,P20,0.005688673,0,0.000295502,0.000546958,0.004655349,0,0.000534923,0.0013795,0.013100905,6,0.006948007,P20,Haemophilus.haemolyticus,set2,Haemophilus
Haemophilus.influenzae,0.137862138,0.228573222,P24,0,0.000199854,6.75E-05,0,0,0,0.000336241,0.000209497,0.000813092,4,0.137862138,P24,Haemophilus.influenzae,set2,Haemophilus
Haemophilus.influenzae,0.350649351,0.097852295,P15,0.04571124,0.09877424,0.11790288,1.02727011,0.20194024,0.11875209,0.37189484,0.29087404,2.27311968,8,0.097852295,P15,Haemophilus.influenzae,set2,Haemophilus
Haemophilus.influenzae,0.216783217,0.096565772,P06,0.010434313,0,0,0,0.029363622,0,0.006929853,0.000249163,0.046976951,4,0.096565772,P06,Haemophilus.influenzae,set2,Haemophilus
Haemophilus.influenzae,0.230769231,0.062243946,P19,0.000627791,8.19E-05,5.26E-05,0.000120745,0.002025068,0,8.52E-05,0,0.002993304,6,0.062243946,P19,Haemophilus.influenzae,set2,Haemophilus
Haemophilus.influenzae,0.007992008,0.036586063,P14,0.004950644,0.001531877,0.002209007,0.024862422,0.005899059,0.003415589,3.68E-05,0.010409709,0.053315107,8,0.036586063,P14,Haemophilus.influenzae,set2,Haemophilus
Haemophilus.influenzae,0.125069836,0.067618357,P23,0.035467786,0.004747773,0.007305123,0.008655146,0.016087886,0.002005387,0.008127451,0.007076108,0.08947266,8,0.030969031,P23,Haemophilus.influenzae,set2,Haemophilus
Haemophilus.influenzae,0.007992008,0.015838241,P26,0.021181314,0.000999073,0.000676972,0.002824183,0.042079904,0.001419662,0.000865479,0.01049498,0.080541567,8,0.015838241,P26,Haemophilus.influenzae,set2,Haemophilus
Haemophilus.influenzae,0.125069836,0.014331366,P20,0.008457337,0.000976529,0.000646833,0.000970154,0.014425249,0.000480546,0.001261814,0.003596127,0.030814589,8,0.014331366,P20,Haemophilus.influenzae,set2,Haemophilus
Haemophilus.influenzae,0.013986014,0.153305459,P07,0.000429007,4.27E-05,0.006578107,0.041900688,0.000135293,3.87E-05,0.001885687,0.002989394,0.053999576,8,0.013986014,P07,Haemophilus.influenzae,set1,Haemophilus
Haemophilus.influenzae,0.216783217,0.006285521,P13,0.000202857,0.000626813,0,0.01659022,0.002406122,0.001108869,0.000608582,0.019252072,0.040795535,7,0.006285521,P13,Haemophilus.influenzae,set2,Haemophilus
Haemophilus.parahaemolyticus,0.200799201,0.091278435,P08,0.072185801,0.017214529,0.070009119,0.157338342,0.0097308,0.041229552,0.005150528,0.666655964,1.039514635,8,0.091278435,P08,Haemophilus.parahaemolyticus,set1,Haemophilus
Haemophilus.parahaemolyticus,0.08991009,0.127766143,P09,0.00010096,0,6.91E-06,0.000886968,0.000194842,9.85E-05,8.38E-05,0.000134181,0.001506161,7,0.076767858,P09,Haemophilus.parahaemolyticus,set1,Haemophilus
Haemophilus.parahaemolyticus,0.068931069,0.065353419,P22,0.001222174,0.001246223,0.006959454,0.029648069,0.00202362,0.003518632,0.014279463,0.007533398,0.066431033,8,0.065353419,P22,Haemophilus.parahaemolyticus,set2,Haemophilus
Haemophilus.parahaemolyticus,0.000999001,0.038263652,P07,0.000860626,4.88E-05,0.013873773,0.060054415,0.00022629,0.000163278,0.002610341,0.020790746,0.098628269,8,0.034965035,P07,Haemophilus.parahaemolyticus,set1,Haemophilus
Haemophilus.parahaemolyticus,0.156251964,0.030450255,P11,0.001802773,8.22E-05,0.000632052,0.008541147,6.88E-05,7.19E-05,0.00964104,0.017677848,0.03851776,8,0.030450255,P11,Haemophilus.parahaemolyticus,set1,Haemophilus
Haemophilus.parahaemolyticus,0.216783217,0.024043856,P13,0.000464562,0.001384849,2.65E-05,0.018610015,0.000869682,0.001767267,8.22E-05,0.011149803,0.034354878,8,0.024043856,P13,Haemophilus.parahaemolyticus,set2,Haemophilus
Haemophilus.parahaemolyticus,0.125069836,0.114377776,P15,0.000529445,0.00081528,0.027124106,0.050174359,0.011591184,0.001094248,0.002548688,0.013024743,0.106902053,8,0.008991009,P15,Haemophilus.parahaemolyticus,set2,Haemophilus
Haemophilus.parahaemolyticus,0.027972028,0.002873827,P26,0.041404706,0.001008863,0.001186781,0.003385099,0.045022989,0.001301813,0.000995219,0.011203182,0.105508652,8,0.002873827,P26,Haemophilus.parahaemolyticus,set2,Haemophilus
Haemophilus.parahaemolyticus,0.027972028,0.002721182,P14,0.071759082,0.003111083,0.00497147,0.027469948,0.08537455,0.009928396,1.89E-05,0.006789854,0.209423283,8,0.002721182,P14,Haemophilus.parahaemolyticus,set2,Haemophilus
Haemophilus.sp..oral.taxon.036,0.508491508,0.099386034,P06,0.049501089,0.002301115,0.00952097,0.006368269,0.146366058,0.001359293,0.028240357,0.000975219,0.24463237,8,0.099386034,P06,Haemophilus.sp..oral.taxon.036,set2,Haemophilus
Haemophilus.sp..oral.taxon.036,0.137862138,0.09888311,P27,0.005033231,0,0.002058898,0,0.002510289,0.000812043,0,0,0.010414461,4,0.09888311,P27,Haemophilus.sp..oral.taxon.036,set2,Haemophilus
Haemophilus.sp..oral.taxon.036,0.08991009,0.180735116,P07,0.000151831,0,0.000830461,0.005002891,3.97E-05,0,0,0.000182728,0.006207611,5,0.08991009,P07,Haemophilus.sp..oral.taxon.036,set1,Haemophilus
Haemophilus.sp..oral.taxon.036,0.182817183,0.110968899,P11,0.001108257,0,7.71E-05,0.001520805,0,0,0.001760653,0.00151437,0.005981185,5,0.076767858,P11,Haemophilus.sp..oral.taxon.036,set1,Haemophilus
Haemophilus.sp..oral.taxon.036,0.327672328,0.073426455,P08,0.00407828,0,8.58E-05,0,0.001055973,0,1.85E-05,0,0.005238553,4,0.073426455,P08,Haemophilus.sp..oral.taxon.036,set1,Haemophilus
Haemophilus.sp..oral.taxon.036,0.030969031,0.035543363,P14,0.000453823,0.000185038,0.00126885,0.003558557,0.001428791,0,0,0.001575185,0.008470244,6,0.035543363,P14,Haemophilus.sp..oral.taxon.036,set2,Haemophilus
Haemophilus.sp..oral.taxon.036,0.060939061,0.118401272,P22,0.000317746,0.000261455,0.001155397,0.005230725,0.00091591,0.000211947,0.001752836,0.000932882,0.010778898,8,0.027972028,P22,Haemophilus.sp..oral.taxon.036,set2,Haemophilus
Haemophilus.sp..oral.taxon.036,0.001998002,0.021666792,P19,0.002479529,0.000277237,0.000173694,0.000154054,0.005076939,0.000330867,0.000167624,7.92E-05,0.008739144,8,0.021666792,P19,Haemophilus.sp..oral.taxon.036,set2,Haemophilus
Haemophilus.sp..oral.taxon.036,0.230769231,0.003047084,P25,0.00133915,8.15E-05,0,0,0.001274741,0,0,0.000301864,0.002997255,4,0.003047084,P25,Haemophilus.sp..oral.taxon.036,set2,Haemophilus
Inoviridae.sp.,0.060939061,0.120728252,P21,0.008042554,9.71E-05,0.006027134,0.000811225,0.014051189,0.000284963,0.002811411,0.006356517,0.038482093,8,0.120728252,P21,Inoviridae.sp.,set2,unclassified Inoviridae
Inoviridae.sp.,0.060939061,0.117937309,P19,0.000134527,7.22E-05,2.22E-05,6.63E-05,0.00070531,0.000431389,7.67E-05,0,0.001508626,7,0.117937309,P19,Inoviridae.sp.,set2,unclassified Inoviridae
