,P03_210705_17,P03_210705_21,P03_210706_09,P03_210706_13,P03_210706_17,P03_210706_21,P03_210707_09,P03_210707_13,P05_210705_17,P05_210705_21,P05_210706_09,P05_210706_13,P05_210706_17,P05_210706_21,P05_210707_09,P05_210707_13,P07_210705_17,P07_210705_21,P07_210706_09,P07_210706_13,P07_210706_17,P07_210706_21,P07_210707_09,P07_210707_13,P08_210705_17,P08_210705_21,P08_210706_09,P08_210706_13,P08_210706_17,P08_210706_21,P08_210707_09,P08_210707_13,P09_210705_17,P09_210705_21,P09_210706_09,P09_210706_13,P09_210706_17,P09_210706_21,P09_210707_09,P09_210707_13,P11_210705_17,P11_210705_21,P11_210706_09,P11_210706_13,P11_210706_17,P11_210706_21,P11_210707_09,P11_210707_13,P06_day1_09,P06_day1_13,P06_day1_17,P06_day1_21,P06_day2_09,P06_day2_13,P06_day2_17,P06_day2_21,P13_day1_09,P13_day1_13,P13_day1_17,P13_day1_21,P13_day2_09,P13_day2_13,P13_day2_17,P13_day2_21,P14_day1_09,P14_day1_13,P14_day1_17,P14_day1_21,P14_day2_09,P14_day2_13,P14_day2_17,P14_day2_21,P15_day1_09,P15_day1_13,P15_day1_17,P15_day1_21,P15_day2_09,P15_day2_13,P15_day2_17,P15_day2_21,P16_day1_09,P16_day1_13,P16_day1_17,P16_day1_21,P16_day2_09,P16_day2_13,P16_day2_17,P16_day2_21,P17_day1_09,P17_day1_13,P17_day1_17,P17_day1_21,P17_day2_09,P17_day2_13,P17_day2_17,P17_day2_21,P18_day1_09,P18_day1_13,P18_day1_17,P18_day1_21,P18_day2_09,P18_day2_13,P18_day2_17,P18_day2_21,P19_day1_09,P19_day1_13,P19_day1_17,P19_day1_21,P19_day2_09,P19_day2_13,P19_day2_17,P19_day2_21,P20_day1_09,P20_day1_13,P20_day1_17,P20_day1_21,P20_day2_09,P20_day2_13,P20_day2_17,P20_day2_21,P21_day1_09,P21_day1_13,P21_day1_17,P21_day1_21,P21_day2_09,P21_day2_13,P21_day2_17,P21_day2_21,P22_day1_09,P22_day1_13,P22_day1_17,P22_day1_21,P22_day2_09,P22_day2_13,P22_day2_17,P22_day2_21,P23_day1_09,P23_day1_13,P23_day1_17,P23_day1_21,P23_day2_09,P23_day2_13,P23_day2_17,P23_day2_21,P24_day1_09,P24_day1_13,P24_day1_17,P24_day1_21,P24_day2_09,P24_day2_13,P24_day2_17,P24_day2_21,P25_day1_09,P25_day1_13,P25_day1_17,P25_day1_21,P25_day2_09,P25_day2_13,P25_day2_17,P25_day2_21,P26_day1_09,P26_day1_13,P26_day1_17,P26_day1_21,P26_day2_09,P26_day2_13,P26_day2_17,P26_day2_21,P27_day1_09,P27_day1_13,P27_day1_17,P27_day1_21,P27_day2_09,P27_day2_13,P27_day2_17,P27_day2_21
Bacteriophage.sp.,0.006857147,0.000986157,0.000789953,0.000157273,4.77E-05,0.000390239,0.00044112,3.36E-05,0.000720833,0.00033458,4.18E-05,6.42E-05,0.000192534,7.79E-05,0.000189117,3.02E-06,0.000265596,0.002971491,0.000837124,6.47E-05,0.001756096,0.000266042,0.000194986,4.99E-05,0.000611152,0.003306582,0.005666028,0.000818179,9.74E-05,0.008866147,0.004263962,0.001064816,5.17E-05,0.000988228,9.85E-05,7.55E-06,0.00024426,0.000362862,0.000327101,0.000375576,0.000170814,0.002047733,0.00261281,0.000183978,0.00380168,0.001956856,9.15E-05,8.41E-05,0.012523207,0.004917265,0.024455809,0.00991005,0.022295624,0.00363726,0.014019988,0.00051003,0.00030633,0.000612485,9.18E-05,0.020154158,0.000438824,0.000477737,0.000309654,0.009636538,0.001035851,0.0006035,0.000923239,0.010493432,0.001478129,0.001256595,3.42E-05,0.006650044,0.00066787,0.000407974,0.000967591,0.0022587,0.002223606,0.000271003,0.000456696,0.000261312,0.025814547,0.000341292,0.000633347,6.19E-05,0.004607861,0.039606575,0.000764135,0.001310435,0.016591489,0.001700887,0.007605796,0.004072973,0.009379027,0.003866655,0.00087173,0.004207762,0.003150286,0.002763811,0.002017682,0.000398207,0.002515539,0.000111454,0.000773578,0.002669784,0.000793136,8.24E-05,4.75E-05,0.000160257,0.002885883,0.00078051,0.000275465,2.73E-05,0.008260905,0.000530982,0.000653984,0.00111042,0.018047377,0.000530153,0.001020235,0.00543731,0.019553479,0.000436446,0.00400364,0.001001375,0.031994826,0.00080181,0.008489112,0.003049501,0.009818378,0.00508894,0.005202697,0.00712144,0.004290963,0.000750027,0.00211156,0.00237513,0.01439252,0.002797481,0.002533517,0.007306068,0.00863519,0.001597687,0.006499084,0.008731584,0.001526529,0.000409225,0.000127121,5.87E-05,0.004882985,3.85E-05,8.84E-05,0.000366232,0.003537122,0.000110615,0.001652619,0.001224314,0.004664907,0.002088546,0.003538706,0.000178921,0.016907758,0.001717175,0.000498165,0.001396962,0.028836151,0.002441,0.000821795,0.013609345,0.047218839,6.37E-05,0.010972739,0.000496158,0.014910809,0.006754927,0.003086712,0.001434023
Streptococcus.anginosus,0.038548637,0.013166855,0.003436189,0.000708919,0.000606718,0.001663068,0.001358059,0.000538689,0.004268236,0.001161257,0.000170214,0.000473538,0.000847137,0.000970875,0.00070382,2.10E-05,0.003130178,0.028248911,0.003426464,0.000700565,0.010791783,0.001823298,0.000596261,0.000372977,0.002830024,0.013612109,0.01232795,0.020663994,0.000724467,0.035132376,0.007215348,0.004335007,0.001183913,0.013882442,0.000725923,0.000116524,0.004388571,0.004903342,0.001554566,0.006311218,0.001390762,0.011812981,0.018644305,0.001518235,0.018209002,0.007788604,0.001392506,0.001393825,0.046345003,0.004146724,0.011372891,0.015732069,0.047866136,0.000954875,0.01563641,0.001074489,0.01441279,0.009346838,0.002349709,0.048680246,0.028475348,0.005429118,0.029012147,0.091242398,0.014638066,0.007009632,0.030070509,0.121997897,0.027039428,0.024722976,0.000541874,0.04610663,0.008562815,0.006229632,0.031172552,0.042322557,0.056151874,0.016036047,0.072209702,0.017249829,0.02141622,0.001191921,0.003447992,0.000681412,0.020529426,0.045986765,0.002972435,0.006448701,0.092184504,0.086041148,0.132868644,0.043423789,0.12033544,0.161684098,0.026383873,0.06396061,0.019117569,0.065704471,0.02699022,0.005710059,0.0297056,0.000564898,0.005048297,0.078816992,0.003450892,0.001209171,0.00058381,0.006508657,0.021362517,0.012657827,0.001627974,0.000942799,0.04668529,0.015092967,0.006516345,0.021697414,0.052380562,0.0053144,0.006440635,0.030875349,0.162459706,0.019326243,0.054776218,0.009499107,0.144746608,0.025828671,0.198564444,0.039400908,0.004050137,0.003765476,0.005483514,0.019887007,0.007415934,0.007343061,0.012681005,0.005814959,0.428694303,0.23278902,0.142813611,0.519160339,1.003383725,0.148862194,0.479083054,0.522044607,0.018633647,0.002906572,0.000466739,0.000379164,0.098743636,0.000208058,0.001302245,0.00217877,0.032314413,0.002191746,0.042596139,0.014432496,0.060375927,0.010796213,0.033197865,0.003633208,0.08347611,0.030902287,0.004676015,0.062079372,0.096375483,0.036131845,0.037162417,0.110670909,0.033065296,0.001005476,0.017173477,0.00582825,0.023081804,0.008662601,0.005258624,0.00481469
Streptococcus.gwangjuense,0.069137646,0.01657747,0.003875942,0.000380744,0.00035018,0.003461319,0.000823885,0.000605458,0.011650989,0.007762407,4.07E-05,0.000300027,0.006166376,0.002449288,0.000607056,3.89E-05,0.008855693,0.081069186,0.000444862,6.21E-05,0.006411465,0.008301231,0.000527054,0.000230677,0.034773376,0.093190587,0.033473739,0.004648936,0.001472104,0.165813458,0.027998111,0.027678281,0.000612015,0.009559367,0.000168121,3.58E-05,0.002355016,0.002898669,0.000532653,0.002067089,0.000234454,0.008087982,0.001724859,0.000146796,0.008898398,0.014247956,7.33E-05,7.55E-05,0.019417048,0.00053585,0.002328795,0.003338025,0.059421947,0.000488046,0.020048126,0.002666905,0.005298634,0.004275678,0.000802062,0.033370707,0.006016963,0.009989065,0.003172018,0.047000477,0.045408408,0.025669728,0.029652392,0.096723352,0.079911182,0.046020223,0.001050473,0.088246916,0.002533352,0.001791743,0.05089631,0.049798771,0.041535282,0.005577381,0.010517573,0.012466048,0.006562013,0.001387921,0.004688642,0.000345852,0.007338446,0.035996624,0.000922355,0.005149733,0.024464765,0.019538115,0.049670532,0.022039334,0.045203988,0.063791636,0.017510086,0.100357313,0.049914744,0.062779734,0.053664455,0.003918123,0.020155856,0.000459982,0.014719432,0.042273713,0.005829648,0.00092202,0.00056322,0.007177639,0.016411382,0.012939078,0.000726929,0.000708802,0.033139201,0.008808783,0.011927283,0.049524677,0.105042189,0.016170407,0.017924751,0.132213561,0.017488008,0.001379639,0.009820059,0.002047205,0.030182271,0.001200704,0.017997293,0.006825459,0.001309607,0.002557476,0.003341364,0.007814998,0.001216856,0.001670288,0.003347933,0.004027659,0.054416717,0.001957514,0.024306742,0.07072173,0.06423226,0.014288942,0.054437654,0.111711496,0.010553042,0.004848617,0.001101205,0.000320176,0.01251755,0.000189598,0.001061362,0.005652697,0.002907155,2.54E-05,0.003530751,0.01010499,0.006596555,0.000326189,0.000976385,0.001368472,0.059129873,0.00498607,0.002363858,0.030660325,0.089719501,0.013720518,0.013606588,0.037517443,0.10130817,0.002005046,0.179156413,0.021615726,0.136094825,0.068442536,0.04245853,0.034504492
Streptococcus.parasanguinis,0.149877193,0.00476934,0.002953322,0.0007643,0.000331451,0.012133065,0.001263724,0.000163104,0.016961673,0.002686417,0.000905894,0.003199622,0.001753323,0.00279487,0.002873498,6.11E-05,0.0005412,0.002587566,0.000222525,0.00021181,0.006346007,0.000592502,0.000229205,0.000176097,0.005022652,0.033672058,0.057978123,0.014395091,0.000752373,0.121866494,0.033275121,0.016792694,0.000279788,0.007264504,0.000724124,6.38E-05,0.004022324,0.001836401,0.002127133,0.003219947,0.010367179,0.059874758,0.059535775,0.00622279,0.098316255,0.020100194,0.00196247,0.002142964,0.099760881,0.001312671,0.007318069,0.007343666,0.101284137,0.000806963,0.026373481,0.00137639,0.001967587,0.007262888,0.000815021,0.06935399,0.001518072,0.002923553,0.00248339,0.058255366,0.005082819,0.007987474,0.008032416,0.100305703,0.006709563,0.020366459,0.000257289,0.057656083,0.016612157,0.009437246,0.033728636,0.07182878,0.055723003,0.00291207,0.023112732,0.004559742,0.039143535,0.001899515,0.002955533,0.000358659,0.019384839,0.007594484,0.001985136,0.00238093,0.189457817,0.006405942,0.05347343,0.021738142,0.066235619,0.017766102,0.010002433,0.030121417,0.023103911,0.007332548,0.013195584,0.006817134,0.046995161,0.003262989,0.004465338,0.021210668,0.002183896,0.000310044,0.000181418,0.001131482,0.006952907,0.002279315,0.00075101,0.0001288,0.035143372,0.007139596,0.007615621,0.008421652,0.041197439,0.006981352,0.011408619,0.02691702,0.03505369,0.000974367,0.008016253,0.00259754,0.063872019,0.001191589,0.0153434,0.00530342,0.002330375,0.001847701,0.001899698,0.008318596,0.003292753,0.001834527,0.00255789,0.002222265,0.058141402,0.004286341,0.006354707,0.01240454,0.020226497,0.002797946,0.007968936,0.012444951,0.023925551,0.006134149,0.001742059,0.001784238,0.06969432,0.000401301,0.000736044,0.005047793,0.036549405,0.00153685,0.041269435,0.025300872,0.117740965,0.060381039,0.100404491,0.006110271,0.096603311,0.042944046,0.006415989,0.018182364,0.104093705,0.020647556,0.010246163,0.391727479,0.030353379,0.000131308,0.017788306,0.000947754,0.016844953,0.011705882,0.005597988,0.003209482
Streptococcus.sanguinis,0.597927205,0.087011823,0.014968408,0.013921538,0.004466383,0.028809522,0.0050544,0.006059929,0.003633981,0.001667133,0.000130615,0.001250195,0.00035657,0.001313798,0.000719008,1.08E-05,0.000692953,0.013964708,0.000726888,0.000141757,0.004279159,0.00212051,0.000320918,0.000357742,0.006719334,0.060069626,0.121030408,0.093112689,0.002681532,0.108200717,0.038437661,0.018790132,0.001333027,0.021908651,0.000603683,0.000453587,0.018383175,0.006020701,0.001250412,0.050072587,0.004190632,0.02595986,0.033433207,0.003330305,0.027638097,0.005865177,0.001983522,0.001058737,0.107944469,0.001380926,0.02568793,0.015380933,0.189628637,0.005596937,0.028584359,0.001196744,0.056971118,0.068720828,0.014853468,0.147328757,0.042699634,0.041302459,0.006289017,0.105691959,0.016365431,0.026033749,0.064171122,0.072899161,0.081213752,0.036018821,0.004003255,0.144322546,0.006486147,0.026193618,0.013878805,0.028118802,0.038990019,0.017793526,0.026257919,0.010646078,0.010046004,0.004166271,0.015137827,0.000937026,0.011434323,0.102435673,0.001685326,0.0077225,0.139779397,0.086146075,0.067753687,0.138381368,0.03847386,0.069318275,0.004616677,0.151188805,0.123323477,0.075844238,0.109962105,0.087375343,0.182667314,0.067684536,0.023828683,0.483618851,0.021208564,0.011517183,0.002237198,0.003878445,0.105848687,0.102443659,0.00756622,0.003921573,0.124256066,0.073113812,0.015470912,0.077289321,0.120742086,0.031940551,0.012642933,0.047900868,0.040349883,0.016502523,0.027521867,0.009551026,0.036298938,0.003885734,0.032355032,0.062452432,0.00681768,0.031055224,0.008558083,0.054383834,0.012387206,0.020176929,0.012585107,0.024365339,0.084207024,0.041601647,0.030558324,0.034787072,0.049272571,0.048152096,0.015164545,0.033822694,0.077150268,0.002540852,0.00120694,0.008300198,0.05788631,0.002929417,0.006938877,0.002783828,0.053141052,0.004490919,0.073482379,0.08163049,0.127145065,0.018508083,0.085036232,0.025255336,0.079618931,0.067820555,0.016415744,0.040336519,0.080193521,0.101627201,0.068276328,0.057376851,0.073710681,0.005842536,0.075305997,0.026476699,0.057292983,0.045771606,0.021762212,0.025422345
Streptococcus.pseudopneumoniae,0.031843932,0.042866565,0.001537851,0.000318548,0.000348402,0.005819744,0.000523233,0.001150896,0.014867798,0.012844086,5.04E-05,0.000399204,0.009186192,0.008090279,0.000564604,7.47E-05,0.015601092,0.131103353,0.000473214,7.14E-05,0.006769164,0.012455244,0.000903982,0.000287153,0.012566195,0.068666752,0.021717134,0.004162875,0.001765092,0.168287737,0.019453014,0.017848041,0.000947551,0.012273525,0.000101201,2.88E-05,0.001477359,0.003105668,0.000331134,0.000968445,0.000285138,0.013341079,0.0069854,0.000183817,0.011363315,0.01704054,0.000469857,0.000171807,0.016635251,0.000448658,0.002665869,0.004187705,0.084893191,0.0005386,0.026503728,0.005358768,0.008914499,0.004170504,0.001545637,0.027618661,0.009506315,0.011780041,0.004629319,0.039176694,0.023408764,0.00753556,0.011799085,0.030870005,0.039976735,0.012004923,0.000240858,0.019770838,0.002120148,0.002081337,0.023436542,0.072178821,0.021774553,0.002913685,0.009051739,0.021122624,0.003897797,0.000743948,0.002989649,0.000131222,0.003473541,0.091375304,0.000466858,0.004740327,0.050408136,0.076172688,0.219559209,0.066444057,0.165306457,0.240882734,0.066767601,0.408491742,0.115588569,0.242914299,0.202146867,0.008933182,0.031948485,0.00100223,0.043568562,0.123748755,0.011381764,0.002122719,0.001254183,0.026200322,0.029431922,0.037427174,0.001276497,0.002369391,0.080745599,0.092741756,0.132709611,0.321142293,0.518770219,0.189596529,0.154130415,0.74647571,0.009874983,0.00098985,0.004741907,0.001770414,0.018392754,0.000973914,0.013095228,0.004419745,0.001585887,0.003334408,0.004177581,0.012310484,0.001527339,0.004292121,0.006621028,0.007611676,0.030029002,0.004059229,0.02849583,0.091150679,0.027614119,0.016464492,0.0693572,0.154811893,0.016141987,0.005715256,0.001410597,0.000724979,0.016425612,0.000183065,0.000315573,0.012080688,0.003358564,1.99E-05,0.004888731,0.006684912,0.008295559,0.000321209,0.008578379,0.001603673,0.02740645,0.006110458,0.001779755,0.039399607,0.043215232,0.008547824,0.008498124,0.04670268,0.203969518,0.006821178,0.234330773,0.073099027,0.471658836,0.125700146,0.101148567,0.106009222
Actinomyces.oris,0.190102693,0.024535721,0.009791056,0.004645831,0.002426847,0.004283744,0.004149488,0.000475785,0.018609839,0.014201957,0.000707315,0.003286228,0.00245137,0.014117007,0.010844268,0.000181952,0.000610543,0.017275423,0.000557336,0.001466827,0.001226488,0.00271124,0.00024941,9.98E-05,0.018354345,0.093851905,0.065836379,0.038569127,0.00482219,0.259391922,0.050430175,0.012890312,0.000232926,0.005704342,0.000300922,5.74E-05,0.003532525,0.00198531,0.000535572,0.005425293,0.000528195,0.026500572,0.01096171,0.001560797,0.013452736,0.006405435,0.000478363,0.00101964,0.044205541,0,0.0062353,0.011878186,0.199078372,0.002055165,0.027475577,0.000203053,0.017557337,0.080610409,0.001207043,0.152385595,0.003200785,0.005629222,0.005956721,0.078059154,0.008128539,0.007115674,0.011176746,0.040333102,0.031790324,0.022216542,0.001670214,0.071095981,0.018951773,0.014329927,0.029839355,0.064452221,0.090888146,0.006245999,0.004591535,0.00768427,0.006152137,0.002722377,0.003028971,0.000183801,0.007539903,0.016019077,0.000796573,0.003142693,0.024848812,0.001767153,0.024214389,0.006725648,0.005953577,0.00598388,0.001597526,0.016239906,0.009899015,0.003555092,0.018498176,0.014177354,0.014120473,0.015644276,0.004762086,0.013943614,0.033579301,0.007901432,0.005691838,0.001584551,0.085327184,0.026145779,0.012169599,0.001206346,0.025406541,0.009121316,0.007188031,0.023800531,0.043014449,0.001673387,0.002735005,0.044110712,0.036109257,0.003965887,0.00410377,0.00215526,0.026616005,0.000801542,0.00696407,0.00566394,0.002079448,0.008439806,0.00313377,0.016110362,0.004000612,0.002393722,0.002183483,0.01034866,0.038230569,0.159358852,0.048602341,0.089713997,0.092226075,0.009284614,0.02838367,0.035449447,0.095101399,0.007943563,0.012208157,0.003246417,0.076152833,0.004068014,0.003159738,0.005562225,0.027478382,0.002180311,0.050240338,0.032809998,0.122202541,0.01658214,0.050471575,0.016562062,0.127251322,0.027177173,0.024457215,0.094003298,0.21531607,0.045196626,0.086716463,0.070115898,0.027481965,0.000580029,0.012893778,0.002498708,0.035966996,0.011428537,0.003303312,0.006109801
Rothia.aeria,0.136301732,0.036663524,0.003649939,0.002558555,0.001034165,0.002105359,0.001956208,0.000716491,0.004136767,0.002111878,0.000162821,0.000757301,6.10E-05,0.001407806,0.000615734,1.55E-05,0.001563206,0.031245388,0.000787322,0.000184407,0.0041013,0.004962037,0.000274269,0.000189302,0.001078412,0.013997874,0.019734815,0.008817511,0.000286859,0.01872028,0.005092909,0.004476304,0.002954242,0.058587087,0.001203566,0.000370903,0.011841336,0.011220088,0.002910952,0.044883746,0.003833976,0.068643696,0.028082655,0.001795206,0.042429253,0.009385291,0.000908242,0.000931696,0.088861209,0,0.013747516,0.026691206,0.165315163,0.012639291,0.03103234,0.000992986,0.034743452,0.08833893,0.002507086,0.240093476,0.085762632,0.012242368,0.001415193,0.07088166,0.018472872,0.02720801,0.120086264,0.101383572,0.046327494,0.024651324,0.004568635,0.120059581,0.011441045,0.061582707,0.036984408,0.091469776,0.068607797,0.026780803,0.011160676,0.042183929,0.010652933,0.001637513,0.005868617,0.000601151,0.014227782,0.04587563,0.000729371,0.002628699,0.098684765,0.037629366,0.099884317,0.132357565,0.027338972,0.020201395,0.004201621,0.097448875,0.065056922,0.020053162,0.036479587,0.036999169,0.018818618,0.00958435,0.004555473,0.012375128,0.013030163,0.004247105,0.000899013,0.001067754,0.044831641,0.030924215,0.00394953,0.001144883,0.042180547,0.043365857,0.01219691,0.060205571,0.07545539,0.015179022,0.005257555,0.076206327,0.043946196,0.023737572,0.009796149,0.011349347,0.049633671,0.005881009,0.032803708,0.048046588,0.032436167,0.10469409,0.037312354,0.08286891,0.031187896,0.045645231,0.013166323,0.040897458,0.03282795,0.040022668,0.053571829,0.041357284,0.035913014,0.023079065,0.021245709,0.022050303,0.015928577,0.003949651,0.003352776,0.00863979,0.017096051,0.002537851,0.007638826,0.007278084,0.004588325,0.000640162,0.009092711,0.005150118,0.009185135,0.002783385,0.008716412,0.001473207,0.184301895,0.116066892,0.019639263,0.070722273,0.222707815,0.129519984,0.083914741,0.091169854,0.084453718,0.009247415,0.091013517,0.007136408,0.074201954,0.032010641,0.025456821,0.040222345
Streptococcus.australis,0.336789499,0.022573987,0.009750212,0.004602997,0.001918353,0.017733883,0.004362704,0.001494826,0.019299247,0.004918315,0.001097298,0.003231052,0.003964429,0.005719686,0.004008202,7.02E-05,0.008500622,0.08922633,0.005140629,0.003556579,0.107194499,0.01521789,0.004187125,0.002789007,0.029286799,0.132153189,0.131481786,0.041127719,0.00253828,0.351721798,0.079810495,0.044983354,0.001473433,0.041432054,0.002224371,0.00119159,0.039700452,0.015633341,0.007801757,0.036209548,0.00999228,0.04563141,0.052472461,0.004948439,0.136047654,0.035627441,0.001948594,0.002265515,0.154147833,0,0.004024942,0.007035856,0.254519715,0.002103845,0.062378626,0.003920194,0.012333908,0.023542438,0.004969751,0.264960507,0.009113298,0.024931648,0.010085905,0.242889202,0.102476102,0.08831341,0.180257493,1.269109501,0.149155746,0.369946285,0.004460027,1.017570455,0.034355671,0.04621512,0.144877272,0.543046727,0.188808381,0.013609413,0.08254934,0.028586463,0.0779245,0.007597182,0.023176544,0.000995223,0.068750936,0.16339325,0.006057239,0.016532278,0.407355444,0.052851758,0.3680275,0.165637629,0.336764921,0.152976652,0.057299526,0.300954978,0.129347915,0.058258408,0.075427788,0.024361041,0.129872427,0.010655928,0.019170657,0.07408217,0.016194064,0.002966507,0.001567568,0.005859813,0.037773899,0.0169496,0.002773754,0.000742573,0.496193397,0.076452726,0.081658733,0.181226192,0.693013161,0.080713061,0.150076978,0.497556326,0.025530563,0.002164238,0.00929999,0.00290905,0.104389507,0.001350825,0.022543748,0.005302064,0.043652771,0.059130927,0.049519296,0.151555069,0.040702687,0.032247475,0.026744025,0.045338111,0.314487213,0.018118712,0.060171804,0.067165057,0.110537876,0.035901653,0.054860368,0.072686641,0.0330357,0.01009528,0.002891683,0.001874633,0.074571724,0.000629842,0.002734823,0.008361571,0.09654716,0.003673399,0.127195858,0.075483324,0.312042288,0.087643247,0.178002932,0.015122413,0.412882229,0.072256429,0.022435723,0.093076472,0.613092131,0.108042787,0.073181808,0.473942455,1.271630048,0.006929732,1.111237077,0.047127445,1.267871198,0.770674041,0.358994134,0.241459886
Lancefieldella.parvula,0.067125971,0.001427261,0.004916253,0.000751158,0.00019194,0.002950595,0.002929039,3.66E-05,0.030745016,0.000202463,0.003259156,0.006172952,0.000469614,0.000741431,0.004825927,1.10E-05,0.000173886,0.002428476,0.001431766,0.000707557,0.009866129,0.000391456,0.00070869,0.000289647,0.000550214,0.001653291,0.019548582,0.002076092,8.17E-05,0.011194362,0.017634871,0.001582293,0.003209133,0.047063641,0.008482722,4.25E-05,0.009831667,0.012903762,0.026302314,0.008439924,0.003694257,0.01183568,0.038281346,0.002121161,0.041421258,0.004164252,0.001534239,0.000986984,0.272976772,0.000876864,0.005510968,0.021796878,0.259806932,0.00037554,0.018254715,0.002110342,0.000144897,0.002196613,0.000233051,0.236419775,0.000204474,0.000954523,0.00091049,0.103826661,0.00287497,0.002846695,0.004083275,0.056136628,0.005345479,0.007504428,0.000394196,0.043343879,0.02398091,0.002565891,0.012692166,0.006689236,0.038917765,0.000284472,0.005004171,0.000484952,0.289229435,0.003653487,0.002804748,0.000181869,0.024994859,0.01747349,0.002324433,0.001793107,0.230878915,0.002189619,0.055646492,0.008693049,0.102651603,0.01102678,0.008490916,0.013944743,0.00307687,0.000183725,0.000220732,0.000436705,0.027473673,0.000292178,0.000973417,0.001732885,0.004597711,0.000529598,0.001095995,0.001133267,0.016419533,0.003232328,0.00254687,0.0003382,0.028077006,0.000735914,0.00245763,0.000826553,0.032191561,0.001947931,0.003081196,0.005762856,0.169245622,0.001377965,0.004036523,0.006917145,0.253215695,0.003554394,0.051454921,0.004402124,0.005145307,0.001329303,0.002159092,0.007704987,0.005559037,0.001391341,0.001814005,0.001939982,0.078876734,0.004563922,0.007188064,0.001858492,0.038277914,0.006646552,0.002328957,0.007409501,0.06039402,0.003289361,0.001678298,0.000820341,0.249663725,0.000766335,0.000284425,0.003571537,0.141961368,0.003511984,0.074208283,0.071029382,0.195548692,0.092175841,0.142506625,0.003481824,0.055213933,0.005311591,0.001555207,0.003356521,0.075106506,0.009463889,0.003462904,0.06171563,0.02288331,5.29E-05,0.005800349,0,0.010919048,0.004161399,0.00082686,0.000411593
Streptococcus.intermedius,0.012943915,0.01623296,0.003411228,0.000722061,0.000286458,0.001863163,0.003403378,0.012234179,0.195048499,0.025256727,0.00020276,0.000237866,0.020225308,0.008065664,0.000769342,0.000595278,0.000247937,0.002500785,0.000404573,8.38E-05,0.001594105,0.000253043,7.54E-05,4.42E-05,0.005647593,0.016808478,0.037204801,0.234364631,0.00105516,0.100998418,0.01281478,0.018709653,0.00017876,0.001715429,0.000170401,2.52E-05,0.000461648,0.000947178,0.000408182,0.001527347,0.000383812,0.003856326,0.007600656,0.001075678,0.015210043,0.008267036,0.000544764,0.000814905,0.009382294,0.000853237,0.002150767,0.003554773,0.009163031,0,0.001465709,0.000124088,0.022649915,0.003222633,0.000586682,0.014519183,0.030750906,0.001049596,0.006437389,0.017970006,0.012225428,0.010406453,0.007619135,0.021406909,0.01048529,0.004918232,0.002226442,0.014664768,0.002066612,0.00118279,0.005647966,0.009622487,0.010388479,0.001873315,0.004443257,0.004123687,0.005927501,0.00248833,0.007129321,0.005978705,0.004180564,0.024545211,0.009044867,0.003840137,0.009006242,0.004804455,0.016530982,0.00756843,0.01985385,0.027623265,0.001283459,0.038641289,0.002310941,0.002018606,0.002047307,0.000137443,0.002352501,5.59E-05,0.000511077,0.002803152,0.001212044,0.000201799,8.45E-05,0.000215828,0.002229495,0.000876401,0.000223795,8.83E-05,0.008876757,0.002074182,0.001089746,0.002872896,0.008657507,0.001065229,0.001397162,0.005219554,0.014947284,0.001093207,0.007536531,0.00094459,0.012313513,0.001022435,0.011255171,0.004468535,0.005399314,0.029160541,0.029207043,0.100971113,0.020103026,0.01699173,0.099448516,0.040228767,0.133271742,0.140641716,0.044468993,0.167391382,0.265526287,0.040363524,0.146054118,0.164388463,0.012352579,0.001665451,0.000440334,0.000129909,0.038390672,0.000121004,0.00053046,0.00044491,0.007222616,0.01455395,0.009767584,0.010554701,0.029561341,0.002743993,0.039700187,0.012058024,0.013265132,0.004875932,0.000477096,0.003707864,0.027515671,0.004117568,0.003366996,0.023221228,0.013119389,0.000110682,0.010988055,0.000929378,0.008632813,0.002957077,0.001559292,0.001614564
