species,rhythmic_p,mesor,amplitude,phase_radians,peak_time_hours,people
Podoviridae.sp.,0.015693353,0.045908669,0.054736373,1.398555731,5.342089385,P06
Streptococcus.sp..oral.taxon.061,0.027764119,0.621192345,0.754659276,1.395852571,5.331764074,P06
Campylobacter.concisus,0.022517182,0.180301226,0.202561572,1.405562758,5.368854257,P06
Gemella.sanguinis,0.101852642,0.039723964,0.036849799,1.447496266,5.529028459,P06
Streptococcus.sp..LPB0220,0.022150957,0.107552885,0.128672237,1.405146984,5.367266119,P06
Streptococcus.sp..oral.taxon.431,0.022456011,0.194230071,0.22049365,1.372524035,5.242655632,P06
Lachnoanaerobaculum.umeaense,0.02818559,0.012486936,0.012874469,1.25140854,4.780028521,P06
Veillonella.dispar,0.019726438,0.310974147,0.403340016,1.380200264,5.271976668,P06
Bacteriophage.sp.,0.702218083,0.011309728,0.001957179,2.623594913,10.02139438,P06
Streptococcus.anginosus,0.041775238,0.027754424,0.026372046,1.313561996,5.017437233,P06
Streptococcus.gwangjuense,0.15426526,0.021210981,0.021659681,1.396712896,5.335050274,P06
Streptococcus.parasanguinis,0.022482179,0.052441268,0.061386414,1.398212403,5.340777971,P06
Streptococcus.sanguinis,0.041552636,0.078537696,0.089325351,1.399474933,5.34560048,P06
Streptococcus.pseudopneumoniae,0.213646591,0.027768729,0.028077099,1.37356292,5.246623882,P06
Actinomyces.oris,0.124428148,0.063841288,0.076642677,1.382228038,5.279722194,P06
Rothia.aeria,0.042417444,0.070465141,0.077258812,1.361452733,5.200366372,P06
Streptococcus.australis,0.041046324,0.104905899,0.124975316,1.410292068,5.386918891,P06
Lancefieldella.parvula,0.006459062,0.139172731,0.18292445,1.360680184,5.197415453,P06
Streptococcus.intermedius,0.021570667,0.005556047,0.005791552,1.26979374,4.850254809,P06
Streptococcus.sp..116.D4,0.070204399,0.007870325,0.00808499,1.365249422,5.214868659,P06
Streptococcus.sp..I.P16,0.047610901,0.106512096,0.118473829,1.408657774,5.380676348,P06
Capnocytophaga.gingivalis,0.540552175,0.004601844,0.001392932,1.712007191,6.539385769,P06
Fusobacterium.nucleatum,0.86215832,0.05160351,0.006370558,0.656379853,2.507186355,P06
Streptococcus.koreensis,0.060502758,0.077234211,0.087791019,1.430174688,5.462864905,P06
Streptococcus.sp..A12,0.037212027,0.014244122,0.016351606,1.41128398,5.390707715,P06
Mogibacterium.diversum,0.009877563,0.089176248,0.121375494,1.379857238,5.270666403,P06
Lautropia.mirabilis,0.08588338,0.007264568,0.008735292,1.44568251,5.522100422,P06
Pauljensenia.hongkongensis,0.013468298,0.019215424,0.02299595,1.360395704,5.196328819,P06
Actinomyces.sp..oral.taxon.169,0.107265106,0.081376071,0.10061051,1.392642083,5.319500915,P06
Streptococcus.sp..I.G2,0.072132189,0.052430972,0.055603173,1.413826464,5.400419289,P06
Streptococcus.lactarius,0.025025584,0.022215136,0.02681114,1.405291882,5.367819588,P06
X.Eubacterium..sulci,0.019068829,0.063651819,0.086372576,1.39066872,5.311963222,P06
Prevotella.nigrescens,0.298363037,0.276079263,0.168443842,1.569670457,5.995699492,P06
Streptococcus.sp..NPS.308,0.017588957,0.007289486,0.009130158,1.41512713,5.405387468,P06
Capnocytophaga.sputigena,0.619739614,0.0035248,0.000840543,5.107618694,19.5096663,P06
Streptococcus.sp..ZB199,0.028453674,0.007846109,0.008939339,1.390048529,5.309594267,P06
Streptococcus.vestibularis,0.016620926,0.015780086,0.020117758,1.354494606,5.173788285,P06
Actinomyces.sp..oral.taxon.171,0.053473613,0.003698977,0.004802586,1.414258584,5.402069866,P06
Neisseria.subflava,0.083458172,0.179105817,0.184653411,1.409515725,5.38395348,P06
Parvimonas.micra,0.277880085,0.220145142,0.172755652,0.158355816,0.604874662,P06
Actinomyces.viscosus,0.014341037,0.003329245,0.00466122,1.386457347,5.295876963,P06
Prevotella.intermedia,0.197052075,0.025330501,0.017143604,1.360671211,5.19738118,P06
Streptococcus.sp..VT.162,0.072647927,0.030890733,0.034797628,1.375816386,5.255231488,P06
Tannerella.sp..oral.taxon.HOT.286,0.061395906,0.003611796,0.003129343,1.39826539,5.340980365,P06
Neisseria.mucosa,0.074305493,0.095296035,0.103739792,1.431014393,5.466072342,P06
Porphyromonas.sp..oral.taxon.275,0.028968793,0.008969124,0.010803376,1.39901719,5.343852029,P06
Campylobacter.showae,0.616611858,0.042428375,0.009935109,2.038663172,7.787119707,P06
Streptococcus.sp..1643,0.008176687,0.007528564,0.010119443,1.389806319,5.308669096,P06
Prevotella.jejuni,0.016330116,0.254547359,0.342397879,1.38206096,5.279084003,P06
Selenomonas.sputigena,0.462060486,0.043285881,0.018274191,1.638601281,6.258995847,P06
Streptococcus.suis,0.004886909,0.001559229,0.002190331,1.39128932,5.31433374,P06
Neisseria.elongata,0.004521402,0.00268291,0.003768824,1.391288072,5.314328976,P06
Prevotella.oris,0.106315888,0.171100131,0.191447277,1.424511747,5.441234065,P06
Neisseria.sicca,0.049683137,0.020820327,0.023881196,1.445524694,5.521497611,P06
Arachnia.propionica,0.118134818,0.005363929,0.004168993,1.285977786,4.912073312,P06
Lachnospiraceae.bacterium.oral.taxon.096,0.033511399,0.092944633,0.108296984,1.348166117,5.14961524,P06
Streptococcus.mutans,0.060140817,0.004006689,0.004756529,1.416786595,5.41172616,P06
Olsenella.sp..oral.taxon.807,0.034332393,0.005266341,0.005851169,1.56283011,5.969571292,P06
Streptococcus.equinus,0.019328874,0.010194205,0.013681619,1.388881726,5.305137411,P06
Candidatus.Saccharibacteria.bacterium.oral.taxon.488,0.019109433,0.010562414,0.011288777,1.345990402,5.14130462,P06
Mogibacterium.pumilum,0.024907774,0.005913835,0.006693304,1.382829788,5.28202071,P06
Streptococcus.sp..FDAARGOS_192,0.008589542,0.019702116,0.027676622,1.391289354,5.31433387,P06
Treponema.sp..OMZ.804,0.876010117,0.215554792,0.017604835,1.835861452,7.012474199,P06
Neisseria.flavescens,0.088246883,0.045944722,0.051525892,1.454553147,5.55598376,P06
Actinomyces.sp..oral.taxon.897,0.025609304,0.0040246,0.003955538,1.586776682,6.061040462,P06
Granulicatella.adiacens,0.020992012,0.007158246,0.008996099,1.413638395,5.399700918,P06
Streptococcus.constellatus,0.271742478,0.014919009,0.00974569,1.192133125,4.553613114,P06
Treponema.socranskii,0.297545118,0.044762642,0.06428293,4.479020188,17.10859688,P06
Haemophilus.influenzae,0.096565772,0.010011774,0.01197822,1.432016614,5.469900544,P06
Campylobacter.rectus,0.465080451,0.18553459,0.165875637,4.19406523,16.02014911,P06
Inoviridae.sp.,0.057999492,0.00081689,0.000934164,1.455720569,5.560442984,P06
Streptococcus.sp..oral.taxon.064,0.023353825,0.027705282,0.03825828,1.389085743,5.305916698,P06
Haemophilus.parahaemolyticus,0.748857489,0.00478198,0.001920518,3.06828957,11.72000284,P06
Aggregatibacter.aphrophilus,0.007116075,0.001747489,0.002454792,1.391289289,5.314333622,P06
Fusobacterium.pseudoperiodonticum,0.029172155,0.014660949,0.016130467,1.285447059,4.910046085,P06
Prevotella.sp..oral.taxon.299,0.009757726,0.040478112,0.054078218,1.395927312,5.332049565,P06
Selenomonas.sp..oral.taxon.126,0.6478521,0.025765441,0.004999373,2.35078502,8.979337345,P06
TM7.phylum.sp..oral.taxon.952,0.00645311,0.023150897,0.032457552,1.388448067,5.303480956,P06
Prevotella.histicola,0.009819123,0.552957594,0.729673731,1.372063594,5.240896876,P06
Prevotella.veroralis,0.009353793,0.337443304,0.447384413,1.375243425,5.253042935,P06
Tannerella.forsythia,0.403399705,0.220369888,0.18993294,4.496165721,17.17408799,P06
Leptotrichia.sp..oral.taxon.212,0.014514715,0.007349689,0.008846206,1.356975021,5.183262772,P06
Campylobacter.gracilis,0.182759552,0.000830316,0.000549999,2.571361635,9.821877954,P06
Schaalia.cardiffensis,0.660304278,1.128667522,0.496974322,4.179611292,15.96493914,P06
Caudovirales.sp.,0.045709137,0.004595362,0.004418914,1.392986544,5.320816658,P06
Haemophilus.haemolyticus,0.129429495,0.010178955,0.011022853,1.465963861,5.599569479,P06
Streptococcus.equi,0.216236968,0.001908922,0.001146703,1.12302896,4.289654646,P06
Streptococcus.infantis,0.005131015,0.003069136,0.004311379,1.391289612,5.314334857,P06
Porphyromonas.gingivalis,0.706639952,0.00909307,0.002199296,4.753530526,18.15714913,P06
Treponema.medium,0.534053985,0.105539568,0.074753845,4.511346662,17.23207491,P06
Campylobacter.blaseri,0.201235455,2.53E-06,3.44E-06,1.435989088,5.485074279,P06
Streptococcus.agalactiae,0.301437364,1.046651907,0.533995026,1.388998217,5.305582372,P06
Lachnospiraceae.bacterium.oral.taxon.500,0.725312764,0.006366457,0.00115997,1.607783631,6.141281095,P06
Filifactor.alocis,0.631287347,0.05779302,0.011356493,2.142801678,8.184899499,P06
Treponema.sp..OMZ.838,0.639725527,0.026310166,0.012262296,4.462120451,17.04404464,P06
Prevotella.denticola,0.017905563,0.006538981,0.008071857,1.433811912,5.476758077,P06
Treponema.denticola,0.6848024,0.31345465,0.097656986,4.526297448,17.28918271,P06
Fretibacterium.fastidiosum,0.073651629,0.001358771,0.000566443,2.523997191,9.640959105,P06
Olsenella.uli,0.25961982,0.000866052,0.000520502,1.890070318,7.219536815,P06
Actinomyces.sp..oral.taxon.848,0.200213824,0.000575901,0.000808999,1.391288961,5.31433237,P06
Neisseria.meningitidis,0.007806861,0.017438996,0.024497495,1.391288348,5.314330028,P06
Treponema.sp..OMZ.806,0.662287974,0.237082838,0.095299439,4.541074644,17.34562744,P06
Leptotrichia.wadei,0.016025835,0.023506644,0.028197606,1.365596544,5.216194566,P06
Capnocytophaga.sp..FDAARGOS_737,0.207940172,-2.48E-12,0.000634278,4.260470518,16.27379863,P06
Selenomonas.sp..oral.taxon.920,0.210337999,0.001130823,0.000685611,2.070009166,7.906852586,P06
Actinomyces.radicidentis,0.004721321,0.002208437,0.00310231,1.391289196,5.314333269,P06
Corynebacterium.matruchotii,0.289136824,0.001755971,0.001996529,1.488509576,5.685687763,P06
Selenomonas.sp..oral.taxon.136,0.015655719,0.010738041,0.012926227,1.468394626,5.608854315,P06
Neisseria.sp..oral.taxon.014,0.200213572,0.000977428,0.001373046,1.391289262,5.314333519,P06
Prevotella.scopos,0.006725791,0.016421366,0.021838204,1.375105594,5.252516463,P06
Streptococcus.milleri,0.031709728,0.016562249,0.019718169,1.297997828,4.957986491,P06
Arachnia.rubra,0.034647386,0.011245118,0.012072998,1.382522974,5.280848766,P06
Selenomonas.sp..oral.taxon.478,0.013463116,0.013787351,0.017043076,1.458966185,5.572840324,P06
Capnocytophaga.leadbetteri,0.346608782,-7.56E-10,0.000654866,4.260459454,16.27375637,P06
Actinomyces.sp..ZJ750,0.00682852,0.001769439,0.002485619,1.391288708,5.314331403,P06
Actinomyces.howellii,0.004771487,0.00112933,0.001586431,1.39128928,5.31433359,P06
Prevotella.enoeca,0.767071913,0.002132551,0.000344593,2.089365096,7.980786792,P06
Staphylococcus.aureus,0.081342614,0.495125826,2.310688328,4.393085221,16.78034948,P06
Actinomyces.slackii,0.005053347,0.001713529,0.002407087,1.391289281,5.314333593,P06
Actinomyces.sp..ZJ34,0.007398981,0.001906304,0.002658934,1.38092785,5.274755841,P06
Propionibacterium.acidifaciens,0.200213567,0.000434152,0.000609877,1.39128928,5.314333587,P06
Veillonella.rodentium,0.00868124,0.002325742,0.003267095,1.39128805,5.314328892,P06
Prevotella.sp..oral.taxon.475,0.401003979,0.014173772,0.033197793,4.462541075,17.0456513,P06
Haemophilus.sp..oral.taxon.036,0.099386034,0.050802659,0.057943303,1.418769422,5.419300001,P06
bacterium,0.008953776,0.002847734,0.003983966,1.385322307,5.291541432,P06
Actinomyces.sp..Chiba101,0.004862464,0.001540431,0.002163927,1.391289261,5.314333514,P06
Treponema.putidum,0.69390678,0.010950305,0.003207467,4.604926839,17.58952485,P06
Actinomyces.weissii,0.028220359,0.126308987,0.17714632,1.388949209,5.305395175,P06
Actinomyces.procaprae,0.005972716,0.002031081,0.00285317,1.391289282,5.314333597,P06
Treponema.parvum,0.56350227,0.050304585,0.028844222,4.371158601,16.69659596,P06
Neisseria.lactamica,0.007753003,0.01990388,0.027960052,1.391289282,5.314333594,P06
Prevotella.fusca,0.01527216,0.002213733,0.00284456,1.417431457,5.414189348,P06
Treponema.pedis,0.578228138,0.003549068,0.001699898,4.392994828,16.7800042,P06
Anaerolineaceae.bacterium.oral.taxon.439,0.013369984,0.003281806,0.001978076,2.389372501,9.126730665,P06
Mycoplasma.salivarium,0.408525075,0.002155647,0.001040076,5.999557966,22.91662336,P06
Abiotrophia.defectiva,0.200213458,0.000545928,0.000766894,1.391291535,5.3143422,P06
TM7.phylum.sp..oral.taxon.349,0.300372266,0.000429699,0.000704392,2.829666337,10.80852924,P06
Kingella.oralis,0.200213611,0.00029463,0.000413882,1.391289299,5.314333659,P06
Actinomyces.israelii,0.011274791,0.002486968,0.003477762,1.384700837,5.28916759,P06
Enterococcus.cecorum,0.00465838,0.002046542,0.002874888,1.391289284,5.314333602,P06
X.Eubacterium..minutum,0.049176183,1.18E-05,0.001138914,4.161873859,15.89718713,P06
Leptotrichia.trevisanii,0.200216507,0.000891443,0.001252249,1.391285948,5.31432086,P06
Prevotella.multiformis,0.004689554,0.002176388,0.003057289,1.391289363,5.314333904,P06
Cutibacterium.acnes,0.004813496,0.003363452,0.004710324,1.38683549,5.297321364,P06
Leptotrichia.sp..oral.taxon.218,0.055288151,0.00736961,0.008291326,1.334735675,5.098314729,P06
Actinomyces.sp..432,0.011430362,0.001629793,0.002289459,1.391289283,5.314333598,P06
Fusobacterium.necrophorum,0.051727015,-1.43E-11,0.000876835,4.144342635,15.83022279,P06
Candidatus.Saccharibacteria.bacterium.oral.taxon.957,0.008660054,0.001287688,0.001808885,1.391289506,5.314334453,P06
Peptostreptococcus.anaerobius,0.400805914,0.001061776,0.000862116,3.433501155,13.11500834,P06
Actinomyces.qiguomingii,0.006901946,0.001145813,0.001609585,1.391289284,5.314333602,P06
Porphyromonas.asaccharolytica,0.322783341,0.000350904,0.000592268,4.849614111,18.52416139,P06
Prevotella.dentalis,0.04491343,0.001356973,0.0016222,1.440558717,5.502528975,P06
Leptotrichia.sp..oral.taxon.221,0.013530481,0.003923396,0.005511405,1.391289305,5.314333685,P06
Clostridioides.difficile,0.004731915,0.002234979,0.003139595,1.391289284,5.314333604,P06
Streptococcus.pseudoporcinus,0.212432858,0.001874064,0.001138887,1.377267548,5.260774519,P06
Enterococcus.faecalis,0.004512,0.002324422,0.003265232,1.39128792,5.314328392,P06
Schaalia.sp..ZJ405,0.004877142,0.001326664,0.001863636,1.391289303,5.314333675,P06
Porphyromonas.endodontalis,0.704643334,0.004407579,0.00097481,5.747336598,21.9532087,P06
Bifidobacterium.dentium,0.200213727,0.000354001,0.000497284,1.391289055,5.31433273,P06
Abiotrophia.para.adiacens,0.00465691,0.000702051,0.000978348,1.379593624,5.269659475,P06
Porphyromonas.cangingivalis,0.798666541,0.001469574,0.000339159,0.886442654,3.385961525,P06
Corynebacterium.diphtheriae,0.012952344,0.004880786,0.006856303,1.391289285,5.314333609,P06
Actinomyces.wuliandei,0.200213565,0.000369586,0.000519177,1.391289264,5.314333528,P06
Treponema.phagedenis,0.162854394,2.12E-13,0.000414312,4.186161532,15.98995921,P06
Corynebacterium.aquilae,0.200213573,0.001510634,0.00212207,1.391289279,5.314333586,P06
Actinomyces.marmotae,0.200216566,0.000540278,0.000758955,1.391281093,5.314302318,P06
Peptacetobacter.hiranonis,0.611024205,0.000530784,0.00053728,3.877798692,14.81209992,P06
Capnocytophaga.sp..oral.taxon.902,0.069613692,0.003955971,0.005557165,1.391289278,5.314333579,P06
Campylobacter.curvus,0.200213562,0.000319863,0.000449328,1.391289273,5.314333562,P06
Bacteroides.heparinolyticus,0.34609998,3.34E-10,0.000686465,4.260475619,16.27381811,P06
Pseudoleptotrichia.goodfellowii,0.189776257,0.000432668,0.000517777,1.697278244,6.483125334,P06
Berryella.intestinalis,0.099999537,0.001671373,0.001406876,1.361746371,5.201487988,P06
Treponema.brennaborense,0.054277077,3.37E-12,0.000987245,4.227732119,16.14874716,P06
Carnobacterium.divergens,0.004668509,0.002044018,0.002871342,1.391289277,5.314333577,P06
Porphyromonas.crevioricanis,0.346098427,2.62E-10,0.000538739,4.26046417,16.27377438,P06
Klebsiella.pneumoniae,0.217278318,5.965184595,3.945134819,5.51058652,21.04889002,P06
Actinomyces.lilanjuaniae,0.200213567,0.000411888,0.000578601,1.391289288,5.314333618,P06
Capnocytophaga.sp..oral.taxon.864,0.87171286,0.005628219,0.000711877,1.759922023,6.722406947,P06
Microviridae.sp.,0.004527875,0.001374928,0.001931436,1.3912893,5.314333664,P06
Mobiluncus.curtisii,0.012071522,0.00109458,0.001537616,1.391289291,5.314333631,P06
Streptococcus.satellite.phage.Javan323,0.198694675,0.00028402,0.000384265,1.333586156,5.093923889,P06
Capnocytophaga.ochracea,0.047665311,7.86E-09,0.004138309,4.157363771,15.87995987,P06
Treponema.maltophilum,0.162653916,0.000475605,0.001730609,4.531280443,17.30821634,P06
Haemophilus.parainfluenzae,0.313232772,0.222480255,0.127094566,1.22156986,4.666053156,P21
Actinomyces.naeslundii,0.015540735,0.052289658,0.057054206,1.344883555,5.137076775,P21
Actinomyces.pacaensis,0.029107489,0.080092776,0.096514975,1.394013451,5.324739156,P21
Actinomyces.sp..oral.taxon.414,0.095860057,0.026536571,0.02141461,1.41717533,5.413211014,P21
Schaalia.meyeri,0.644998714,0.110819236,0.035790338,1.674090812,6.39455587,P21
Schaalia.odontolytica,0.051959502,1.375386902,1.580660943,1.406734139,5.373328605,P21
Rothia.dentocariosa,0.054999123,0.011598249,0.007384141,1.038935282,3.968440458,P21
Rothia.mucilaginosa,0.080494429,0.437853536,0.446981921,1.393005722,5.320889915,P21
Gemella.morbillorum,0.559838138,0.312640244,0.188589269,4.441790698,16.9663907,P21
Streptococcus.cristatus,0.171769477,0.024143829,0.014910378,1.487032993,5.680047633,P21
Streptococcus.gordonii,0.148437941,0.008815709,0.006599203,1.376088684,5.256271587,P21
Streptococcus.mitis,0.35350002,0.260063282,0.139589635,1.315519705,5.024915132,P21
Streptococcus.oralis,0.873142285,0.094113797,0.013186957,4.302021269,16.43251081,P21
Streptococcus.salivarius,0.337888545,0.353266449,0.279448778,1.512451468,5.777139056,P21
Veillonella.nakazawae,0.012701529,0.074270196,0.094792369,1.384309684,5.287673497,P21
Veillonella.atypica,0.012576629,0.327587591,0.424279783,1.389397868,5.307108928,P21
Veillonella.parvula,0.07089626,0.066929576,0.06546903,1.423583457,5.43768826,P21
Myoviridae.sp.,0.042389425,0.091418239,0.090702883,1.309342221,5.00131888,P21
Siphoviridae.sp.,0.086328836,0.475103663,0.488393947,1.280805078,4.892315024,P21
Prevotella.melaninogenica,0.008343633,0.37297462,0.487507582,1.380525968,5.273220765,P21
Gemella.haemolysans,0.629056269,0.051983836,0.024782623,4.276932541,16.33667892,P21
Streptococcus.pneumoniae,0.326787255,0.039400676,0.022509611,1.342741264,5.128893828,P21
Streptococcus.thermophilus,0.126594139,0.003067059,0.002558712,1.435598031,5.48358055,P21
Podoviridae.sp.,0.047650775,0.015621702,0.015186858,1.347571815,5.147345172,P21
Streptococcus.sp..oral.taxon.061,0.022937667,0.173242733,0.19806534,1.382504028,5.280776399,P21
Campylobacter.concisus,0.12838664,0.209157103,0.224635342,1.410137084,5.386326898,P21
Gemella.sanguinis,0.251458654,0.026129387,0.017141204,1.443407518,5.513410594,P21
Streptococcus.sp..LPB0220,0.032016316,0.026302365,0.029403058,1.380371785,5.272631829,P21
Streptococcus.sp..oral.taxon.431,0.143230193,0.142904951,0.126013378,1.41523023,5.405781283,P21
Lachnoanaerobaculum.umeaense,0.16139407,0.012547083,0.00895244,1.305916724,4.988234444,P21
Veillonella.dispar,0.01361161,0.199164362,0.257739619,1.376466835,5.25771602,P21
Bacteriophage.sp.,0.054244596,0.013899795,0.014703842,1.391317107,5.314439881,P21
Streptococcus.anginosus,0.474762533,0.089026582,0.035040754,1.861670398,7.11105711,P21
Streptococcus.gwangjuense,0.266483172,0.014135736,0.009185767,1.391895317,5.316648478,P21
Streptococcus.parasanguinis,0.060127475,0.026706667,0.028452769,1.386245189,5.29506658,P21
Streptococcus.sanguinis,0.255917921,0.03716307,0.019971289,0.633609361,2.420209482,P21
Streptococcus.pseudopneumoniae,0.336605714,0.008614474,0.00508929,1.374616199,5.25064711,P21
Actinomyces.oris,0.018673033,0.017636116,0.018883098,1.365574246,5.216109395,P21
Rothia.aeria,0.122132819,0.038243951,0.023961543,1.018656337,3.890980594,P21
Streptococcus.australis,0.156919142,0.034532796,0.036644426,1.412700751,5.396119382,P21
Lancefieldella.parvula,0.026320679,0.108445146,0.13255892,1.406799462,5.373578119,P21
Streptococcus.intermedius,0.333014943,0.00816848,0.004340289,1.457360146,5.566705705,P21
Streptococcus.sp..116.D4,0.245576788,0.005166829,0.003508968,1.410291016,5.386914872,P21
Streptococcus.sp..I.P16,0.048124515,0.046647554,0.051853552,1.399588839,5.346035569,P21
Capnocytophaga.gingivalis,0.115017025,0.028513433,0.021452074,1.190941013,4.54905958,P21
Fusobacterium.nucleatum,0.050274877,0.111163857,0.099905404,1.165804735,4.45304607,P21
Streptococcus.koreensis,0.127671,0.02793789,0.03293776,1.403254985,5.360039215,P21
Streptococcus.sp..A12,0.057670335,0.007155678,0.007955358,1.382778003,5.281822904,P21
Mogibacterium.diversum,0.012697278,0.089285456,0.113352685,1.401976416,5.355155443,P21
Lautropia.mirabilis,0.2547959,0.134521109,0.139888613,1.369706371,5.231892949,P21
Pauljensenia.hongkongensis,0.038943779,0.015553909,0.018316064,1.392440481,5.318730851,P21
Actinomyces.sp..oral.taxon.169,0.025302841,0.012201349,0.012791694,1.374250219,5.249249171,P21
Streptococcus.sp..I.G2,0.053966156,0.031644443,0.035054479,1.389936424,5.309166057,P21
Streptococcus.lactarius,0.085509057,0.007046266,0.008230053,1.400936819,5.351184473,P21
X.Eubacterium..sulci,0.013784639,0.097292816,0.131336873,1.398158628,5.340572565,P21
Prevotella.nigrescens,0.011607747,0.084278329,0.106147357,1.407688888,5.376975477,P21
Streptococcus.sp..NPS.308,0.630796176,0.004905475,0.001514291,1.351754264,5.16332095,P21
Capnocytophaga.sputigena,0.08948741,0.007883039,0.006671772,1.259155908,4.809621286,P21
Streptococcus.sp..ZB199,0.072952128,0.005708403,0.005433558,1.397910859,5.339626159,P21
Streptococcus.vestibularis,0.029267798,0.00499863,0.005482288,1.405755367,5.369589972,P21
Actinomyces.sp..oral.taxon.171,0.045460594,0.020939229,0.02008834,1.348295636,5.150109966,P21
Neisseria.subflava,0.05003114,0.660682375,0.641538557,1.28119141,4.893790701,P21
Parvimonas.micra,0.135367118,0.213710185,0.175305739,1.384243626,5.287421171,P21
Actinomyces.viscosus,0.021496736,0.009442468,0.010182153,1.33615545,5.103737869,P21
Prevotella.intermedia,0.020815465,0.225579082,0.254681691,1.394545022,5.326769608,P21
Streptococcus.sp..VT.162,0.806348242,0.008489314,0.001068908,2.523534891,9.639193248,P21
Tannerella.sp..oral.taxon.HOT.286,0.064658208,0.017018227,0.018670614,1.409685751,5.384602931,P21
Neisseria.mucosa,0.032207172,0.476449702,0.54084,1.332867709,5.091179625,P21
Porphyromonas.sp..oral.taxon.275,0.018016929,0.011790828,0.01386607,1.388055763,5.301982465,P21
Campylobacter.showae,0.06671624,0.032752021,0.02884419,1.250885045,4.778028914,P21
Streptococcus.sp..1643,0.300834646,0.00624221,0.004203094,1.413182815,5.397960733,P21
Prevotella.jejuni,0.018037189,0.181410389,0.246946429,1.392027287,5.317152567,P21
Selenomonas.sputigena,0.112811116,0.033293764,0.025985744,1.359785386,5.193997576,P21
Streptococcus.suis,0.304671978,0.001597117,0.000885714,1.4499812,5.538520207,P21
Neisseria.elongata,0.10318018,0.106660875,0.12940748,1.346232449,5.142229172,P21
Prevotella.oris,0.131703696,0.070542054,0.073135596,1.421537823,5.429874514,P21
Neisseria.sicca,0.039137072,0.112965077,0.109330113,1.130022328,4.316367343,P21
Arachnia.propionica,0.012258778,0.011904661,0.01291636,1.413352242,5.398607897,P21
Lachnospiraceae.bacterium.oral.taxon.096,0.066476164,0.055774614,0.055460773,1.435836859,5.484492805,P21
Cardiobacterium.hominis,0.121122492,0.02342168,0.030246691,1.370940064,5.236605309,P21
Streptococcus.mutans,0.42633009,0.00192863,0.001029571,1.644168295,6.280260273,P21
Olsenella.sp..oral.taxon.807,0.040399973,0.006365313,0.007163212,1.396150074,5.332900453,P21
Streptococcus.equinus,0.367288263,0.004111472,0.002865371,1.537102675,5.871299732,P21
Candidatus.Saccharibacteria.bacterium.oral.taxon.488,0.146035885,0.011463489,0.010324273,1.387995366,5.301751764,P21
Mogibacterium.pumilum,0.179380601,0.008128452,0.006192425,1.411508983,5.391567164,P21
Streptococcus.sp..FDAARGOS_192,0.166672967,0.010844247,0.012565441,1.429922818,5.461902834,P21
Treponema.sp..OMZ.804,0.103637808,0.07851044,0.068756325,1.375406012,5.253663975,P21
Neisseria.flavescens,0.044924476,0.16393501,0.165738088,1.292031473,4.935196694,P21
Actinomyces.sp..oral.taxon.897,0.058845517,0.002886633,0.003040341,1.414375174,5.402515207,P21
Granulicatella.adiacens,0.171733604,0.002668801,0.001925986,1.326697725,5.067612022,P21
Streptococcus.constellatus,0.507173794,0.019333431,0.007354053,1.668013033,6.371340463,P21
Treponema.socranskii,0.098755666,0.023782923,0.019650451,1.388233745,5.302662305,P21
