name	Superclass1	Superclass2
PWY-6121: 5-aminoimidazole ribonucleotide biosynthesis I	Biosynthesis	Nucleoside and Nucleotide Biosynthesis
PWY-7357: thiamine phosphate formation from pyrithiamine and oxythiamine (yeast)	Biosynthesis	"Cofactor, Carrier, and Vitamin Biosynthesis"
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)	Generation of Precursor Metabolites and Energy	Glycolysis
"PWY-724: superpathway of L-lysine, L-threonine and L-methionine biosynthesis II"	Biosynthesis	Amino Acid Biosynthesis
PWY-5345: superpathway of L-methionine biosynthesis (by sulfhydrylation)	Biosynthesis	Amino Acid Biosynthesis
PWY-7328: superpathway of UDP-glucose-derived O-antigen building blocks biosynthesis	Biosynthesis	Carbohydrate Biosynthesis
PWY-7200: superpathway of pyrimidine deoxyribonucleoside salvage	Biosynthesis	Nucleoside and Nucleotide Biosynthesis
PWY-5347: superpathway of L-methionine biosynthesis (transsulfuration)	Biosynthesis	Amino Acid Biosynthesis
PWY-8004: Entner-Doudoroff pathway I	Degradation/Utilization/Assimilation	Carbohydrate Degradation
PWY-6527: stachyose degradation	Degradation/Utilization/Assimilation	Carbohydrate Degradation
PWY0-1296: purine ribonucleosides degradation	Degradation/Utilization/Assimilation	Nucleoside and Nucleotide Degradation
