pathway	species	sum	ownership_new	Superclass1	Superclass2
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)	Streptococcus_pneumoniae	0.005074754	cluster2	Generation of Precursor Metabolites and Energy	Glycolysis
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)	Streptococcus_pseudopneumoniae	0.002509337	cluster2	Generation of Precursor Metabolites and Energy	Glycolysis
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)	Prevotella_denticola	5.522e-06	cluster1	Generation of Precursor Metabolites and Energy	Glycolysis
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)	Prevotella_jejuni	9.3919e-05	cluster1	Generation of Precursor Metabolites and Energy	Glycolysis
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)	Prevotella_dentalis	1.97e-06	mix	Generation of Precursor Metabolites and Energy	Glycolysis
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)	Prevotella_multiformis	8.47e-06	cluster1	Generation of Precursor Metabolites and Energy	Glycolysis
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)	Prevotella_dentalis	1.58e-06	mix	Biosynthesis	Amino Acid Biosynthesis
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)	Neisseria_meningitidis	0.000174453	cluster1	Biosynthesis	Amino Acid Biosynthesis
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)	Neisseria_elongata	0.000186855	cluster1	Biosynthesis	Amino Acid Biosynthesis
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)	Haemophilus_parahaemolyticus	0.000165578	cluster2	Biosynthesis	Amino Acid Biosynthesis
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)	Neisseria_mucosa	0.00083015	cluster1	Biosynthesis	Amino Acid Biosynthesis
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)	Streptococcus_pneumoniae	0.003468273	cluster2	Biosynthesis	Amino Acid Biosynthesis
ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle)	Actinomyces_sp_oral_taxon_897	4.609e-06	cluster1	Biosynthesis	Amino Acid Biosynthesis
ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle)	Neisseria_meningitidis	0.0003034183	cluster1	Biosynthesis	Amino Acid Biosynthesis
ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle)	Neisseria_elongata	0.000262971	cluster1	Biosynthesis	Amino Acid Biosynthesis
ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle)	Streptococcus_pneumoniae	0.004403776	cluster2	Biosynthesis	Amino Acid Biosynthesis
ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle)	Neisseria_mucosa	0.001147522	cluster1	Biosynthesis	Amino Acid Biosynthesis
ASPASN-PWY: superpathway of L-aspartate and L-asparagine biosynthesis	Haemophilus_influenzae	9.64514e-05	mix	Biosynthesis	Amino Acid Biosynthesis
ASPASN-PWY: superpathway of L-aspartate and L-asparagine biosynthesis	Streptococcus_parasanguinis	0.00333195	cluster1	Biosynthesis	Amino Acid Biosynthesis
ASPASN-PWY: superpathway of L-aspartate and L-asparagine biosynthesis	Prevotella_fusca	3.37e-07	cluster1	Biosynthesis	Amino Acid Biosynthesis
ASPASN-PWY: superpathway of L-aspartate and L-asparagine biosynthesis	Prevotella_denticola	1.0958e-05	cluster1	Biosynthesis	Amino Acid Biosynthesis
ASPASN-PWY: superpathway of L-aspartate and L-asparagine biosynthesis	Streptococcus_pseudopneumoniae	0.00150616	cluster2	Biosynthesis	Amino Acid Biosynthesis
ASPASN-PWY: superpathway of L-aspartate and L-asparagine biosynthesis	Prevotella_histicola	0.000305814	cluster1	Biosynthesis	Amino Acid Biosynthesis
ASPASN-PWY: superpathway of L-aspartate and L-asparagine biosynthesis	Capnocytophaga_gingivalis	6.6152e-06	cluster1	Biosynthesis	Amino Acid Biosynthesis
ASPASN-PWY: superpathway of L-aspartate and L-asparagine biosynthesis	Prevotella_scopos	7.962e-06	cluster1	Biosynthesis	Amino Acid Biosynthesis
ASPASN-PWY: superpathway of L-aspartate and L-asparagine biosynthesis	Streptococcus_pneumoniae	0.006702845	cluster2	Biosynthesis	Amino Acid Biosynthesis
ASPASN-PWY: superpathway of L-aspartate and L-asparagine biosynthesis	Streptococcus_agalactiae	0.00024588	cluster2	Biosynthesis	Amino Acid Biosynthesis
ASPASN-PWY: superpathway of L-aspartate and L-asparagine biosynthesis	Streptococcus_mitis	0.013993401	cluster2	Biosynthesis	Amino Acid Biosynthesis
ASPASN-PWY: superpathway of L-aspartate and L-asparagine biosynthesis	Prevotella_oris	6.8339e-05	cluster1	Biosynthesis	Amino Acid Biosynthesis
ASPASN-PWY: superpathway of L-aspartate and L-asparagine biosynthesis	Peptostreptococcus_anaerobius	6.86e-07	cluster1	Biosynthesis	Amino Acid Biosynthesis
ASPASN-PWY: superpathway of L-aspartate and L-asparagine biosynthesis	Prevotella_veroralis	1.1723e-05	cluster1	Biosynthesis	Amino Acid Biosynthesis
ASPASN-PWY: superpathway of L-aspartate and L-asparagine biosynthesis	Prevotella_jejuni	0.0001042759	cluster1	Biosynthesis	Amino Acid Biosynthesis
ASPASN-PWY: superpathway of L-aspartate and L-asparagine biosynthesis	Prevotella_multiformis	9.158e-06	cluster1	Biosynthesis	Amino Acid Biosynthesis
ASPASN-PWY: superpathway of L-aspartate and L-asparagine biosynthesis	Streptococcus_oralis	0.003458276	mix	Biosynthesis	Amino Acid Biosynthesis
ASPASN-PWY: superpathway of L-aspartate and L-asparagine biosynthesis	Haemophilus_haemolyticus	0.000209306	mix	Biosynthesis	Amino Acid Biosynthesis
ASPASN-PWY: superpathway of L-aspartate and L-asparagine biosynthesis	Haemophilus_parahaemolyticus	0.000181307	cluster2	Biosynthesis	Amino Acid Biosynthesis
BRANCHED-CHAIN-AA-SYN-PWY: superpathway of branched chain amino acid biosynthesis	Streptococcus_pneumoniae	0.010873902	cluster2	Biosynthesis	Amino Acid Biosynthesis
BRANCHED-CHAIN-AA-SYN-PWY: superpathway of branched chain amino acid biosynthesis	Streptococcus_pseudopneumoniae	0.001850542	cluster2	Biosynthesis	Amino Acid Biosynthesis
BRANCHED-CHAIN-AA-SYN-PWY: superpathway of branched chain amino acid biosynthesis	Haemophilus_parahaemolyticus	0.000222049	cluster2	Biosynthesis	Amino Acid Biosynthesis
BRANCHED-CHAIN-AA-SYN-PWY: superpathway of branched chain amino acid biosynthesis	Streptococcus_oralis	0.002633141	mix	Biosynthesis	Amino Acid Biosynthesis
BRANCHED-CHAIN-AA-SYN-PWY: superpathway of branched chain amino acid biosynthesis	Actinomyces_sp_oral_taxon_897	6.78e-06	cluster1	Biosynthesis	Amino Acid Biosynthesis
BRANCHED-CHAIN-AA-SYN-PWY: superpathway of branched chain amino acid biosynthesis	Streptococcus_australis	0.000825693	mix	Biosynthesis	Amino Acid Biosynthesis
BRANCHED-CHAIN-AA-SYN-PWY: superpathway of branched chain amino acid biosynthesis	Streptococcus_mitis	0.008814824	cluster2	Biosynthesis	Amino Acid Biosynthesis
BRANCHED-CHAIN-AA-SYN-PWY: superpathway of branched chain amino acid biosynthesis	Cardiobacterium_hominis	1.4357e-05	mix	Biosynthesis	Amino Acid Biosynthesis
BRANCHED-CHAIN-AA-SYN-PWY: superpathway of branched chain amino acid biosynthesis	Veillonella_atypica	0.001086531	cluster1	Biosynthesis	Amino Acid Biosynthesis
BRANCHED-CHAIN-AA-SYN-PWY: superpathway of branched chain amino acid biosynthesis	Haemophilus_haemolyticus	0.000173333	mix	Biosynthesis	Amino Acid Biosynthesis
BRANCHED-CHAIN-AA-SYN-PWY: superpathway of branched chain amino acid biosynthesis	Streptococcus_parasanguinis	0.003334556	cluster1	Biosynthesis	Amino Acid Biosynthesis
BRANCHED-CHAIN-AA-SYN-PWY: superpathway of branched chain amino acid biosynthesis	Haemophilus_influenzae	0.0003105754	mix	Biosynthesis	Amino Acid Biosynthesis
CALVIN-PWY: Calvin-Benson-Bassham cycle	Prevotella_multiformis	9.277e-06	cluster1	Biosynthesis	Carbohydrate Biosynthesis
CALVIN-PWY: Calvin-Benson-Bassham cycle	Neisseria_elongata	0.000104614	cluster1	Biosynthesis	Carbohydrate Biosynthesis
CALVIN-PWY: Calvin-Benson-Bassham cycle	Peptostreptococcus_anaerobius	5.53e-07	cluster1	Biosynthesis	Carbohydrate Biosynthesis
CALVIN-PWY: Calvin-Benson-Bassham cycle	Streptococcus_agalactiae	0.0003105	cluster2	Biosynthesis	Carbohydrate Biosynthesis
CALVIN-PWY: Calvin-Benson-Bassham cycle	Prevotella_dentalis	1.98e-06	mix	Biosynthesis	Carbohydrate Biosynthesis
CALVIN-PWY: Calvin-Benson-Bassham cycle	Haemophilus_parahaemolyticus	0.000263101	cluster2	Biosynthesis	Carbohydrate Biosynthesis
CALVIN-PWY: Calvin-Benson-Bassham cycle	Capnocytophaga_gingivalis	6.3068e-05	cluster1	Biosynthesis	Carbohydrate Biosynthesis
CALVIN-PWY: Calvin-Benson-Bassham cycle	Haemophilus_haemolyticus	0.000245382	mix	Biosynthesis	Carbohydrate Biosynthesis
CALVIN-PWY: Calvin-Benson-Bassham cycle	Porphyromonas_endodontalis	0.000999091	cluster1	Biosynthesis	Carbohydrate Biosynthesis
CALVIN-PWY: Calvin-Benson-Bassham cycle	Neisseria_mucosa	0.0006846136	cluster1	Biosynthesis	Carbohydrate Biosynthesis
CALVIN-PWY: Calvin-Benson-Bassham cycle	Gemella_haemolysans	0.00231337	cluster2	Biosynthesis	Carbohydrate Biosynthesis
CALVIN-PWY: Calvin-Benson-Bassham cycle	Prevotella_denticola	5.237e-06	cluster1	Biosynthesis	Carbohydrate Biosynthesis
CALVIN-PWY: Calvin-Benson-Bassham cycle	Streptococcus_pneumoniae	0.000624879	cluster2	Biosynthesis	Carbohydrate Biosynthesis
CALVIN-PWY: Calvin-Benson-Bassham cycle	Haemophilus_influenzae	0.0002830019	mix	Biosynthesis	Carbohydrate Biosynthesis
CALVIN-PWY: Calvin-Benson-Bassham cycle	Cardiobacterium_hominis	1.2818e-05	mix	Biosynthesis	Carbohydrate Biosynthesis
CALVIN-PWY: Calvin-Benson-Bassham cycle	Streptococcus_parasanguinis	0.001800041	cluster1	Biosynthesis	Carbohydrate Biosynthesis
COA-PWY: coenzyme A biosynthesis I (prokaryotic)	Neisseria_elongata	0.000136128	cluster1	Biosynthesis	"Cofactor, Carrier, and Vitamin Biosynthesis"
COA-PWY: coenzyme A biosynthesis I (prokaryotic)	Gemella_haemolysans	0.001552415	cluster2	Biosynthesis	"Cofactor, Carrier, and Vitamin Biosynthesis"
COA-PWY: coenzyme A biosynthesis I (prokaryotic)	Streptococcus_pseudopneumoniae	0.002833341	cluster2	Biosynthesis	"Cofactor, Carrier, and Vitamin Biosynthesis"
COA-PWY: coenzyme A biosynthesis I (prokaryotic)	Prevotella_veroralis	3.1201e-05	cluster1	Biosynthesis	"Cofactor, Carrier, and Vitamin Biosynthesis"
COA-PWY: coenzyme A biosynthesis I (prokaryotic)	Streptococcus_pneumoniae	0.009154664	cluster2	Biosynthesis	"Cofactor, Carrier, and Vitamin Biosynthesis"
COA-PWY: coenzyme A biosynthesis I (prokaryotic)	Capnocytophaga_gingivalis	9.1327e-05	cluster1	Biosynthesis	"Cofactor, Carrier, and Vitamin Biosynthesis"
COA-PWY: coenzyme A biosynthesis I (prokaryotic)	Prevotella_multiformis	1.2628e-05	cluster1	Biosynthesis	"Cofactor, Carrier, and Vitamin Biosynthesis"
COA-PWY: coenzyme A biosynthesis I (prokaryotic)	Veillonella_atypica	0.000680132	cluster1	Biosynthesis	"Cofactor, Carrier, and Vitamin Biosynthesis"
COA-PWY: coenzyme A biosynthesis I (prokaryotic)	Prevotella_oris	6.0722e-05	cluster1	Biosynthesis	"Cofactor, Carrier, and Vitamin Biosynthesis"
COA-PWY: coenzyme A biosynthesis I (prokaryotic)	Haemophilus_haemolyticus	8.15085e-05	mix	Biosynthesis	"Cofactor, Carrier, and Vitamin Biosynthesis"
COA-PWY: coenzyme A biosynthesis I (prokaryotic)	Porphyromonas_endodontalis	0.000892411	cluster1	Biosynthesis	"Cofactor, Carrier, and Vitamin Biosynthesis"
COA-PWY: coenzyme A biosynthesis I (prokaryotic)	Corynebacterium_matruchotii	1.033e-06	cluster1	Biosynthesis	"Cofactor, Carrier, and Vitamin Biosynthesis"
COA-PWY: coenzyme A biosynthesis I (prokaryotic)	Streptococcus_parasanguinis	0.003440744	cluster1	Biosynthesis	"Cofactor, Carrier, and Vitamin Biosynthesis"
COA-PWY: coenzyme A biosynthesis I (prokaryotic)	Prevotella_scopos	7.47e-06	cluster1	Biosynthesis	"Cofactor, Carrier, and Vitamin Biosynthesis"
COA-PWY: coenzyme A biosynthesis I (prokaryotic)	Haemophilus_influenzae	0.00023237	mix	Biosynthesis	"Cofactor, Carrier, and Vitamin Biosynthesis"
COA-PWY: coenzyme A biosynthesis I (prokaryotic)	Bacteroides_heparinolyticus	8.867e-06	cluster1	Biosynthesis	"Cofactor, Carrier, and Vitamin Biosynthesis"
COA-PWY: coenzyme A biosynthesis I (prokaryotic)	Cardiobacterium_hominis	1.958e-05	mix	Biosynthesis	"Cofactor, Carrier, and Vitamin Biosynthesis"
COA-PWY: coenzyme A biosynthesis I (prokaryotic)	Neisseria_meningitidis	0.0008294313	cluster1	Biosynthesis	"Cofactor, Carrier, and Vitamin Biosynthesis"
COA-PWY: coenzyme A biosynthesis I (prokaryotic)	Neisseria_mucosa	0.001307971	cluster1	Biosynthesis	"Cofactor, Carrier, and Vitamin Biosynthesis"
COA-PWY: coenzyme A biosynthesis I (prokaryotic)	Porphyromonas_gingivalis	2.2911e-05	cluster1	Biosynthesis	"Cofactor, Carrier, and Vitamin Biosynthesis"
COA-PWY: coenzyme A biosynthesis I (prokaryotic)	Streptococcus_oralis	0.003052754	mix	Biosynthesis	"Cofactor, Carrier, and Vitamin Biosynthesis"
COA-PWY: coenzyme A biosynthesis I (prokaryotic)	Prevotella_denticola	5.523e-06	cluster1	Biosynthesis	"Cofactor, Carrier, and Vitamin Biosynthesis"
COA-PWY: coenzyme A biosynthesis I (prokaryotic)	Prevotella_jejuni	9.7038e-05	cluster1	Biosynthesis	"Cofactor, Carrier, and Vitamin Biosynthesis"
COA-PWY: coenzyme A biosynthesis I (prokaryotic)	Prevotella_histicola	0.000281958	cluster1	Biosynthesis	"Cofactor, Carrier, and Vitamin Biosynthesis"
COA-PWY: coenzyme A biosynthesis I (prokaryotic)	Streptococcus_mitis	0.010430264	cluster2	Biosynthesis	"Cofactor, Carrier, and Vitamin Biosynthesis"
COA-PWY: coenzyme A biosynthesis I (prokaryotic)	Streptococcus_australis	0.000534866	mix	Biosynthesis	"Cofactor, Carrier, and Vitamin Biosynthesis"
COA-PWY: coenzyme A biosynthesis I (prokaryotic)	Haemophilus_parahaemolyticus	0.00024924	cluster2	Biosynthesis	"Cofactor, Carrier, and Vitamin Biosynthesis"
COA-PWY: coenzyme A biosynthesis I (prokaryotic)	Streptococcus_agalactiae	0.000309023	cluster2	Biosynthesis	"Cofactor, Carrier, and Vitamin Biosynthesis"
COMPLETE-ARO-PWY: superpathway of aromatic amino acid biosynthesis	Streptococcus_australis	0.000421904	mix	Biosynthesis	Amino Acid Biosynthesis
COMPLETE-ARO-PWY: superpathway of aromatic amino acid biosynthesis	Streptococcus_pseudopneumoniae	0.002317525	cluster2	Biosynthesis	Amino Acid Biosynthesis
COMPLETE-ARO-PWY: superpathway of aromatic amino acid biosynthesis	Streptococcus_mitis	0.007841952	cluster2	Biosynthesis	Amino Acid Biosynthesis
COMPLETE-ARO-PWY: superpathway of aromatic amino acid biosynthesis	Neisseria_elongata	0.000200022	cluster1	Biosynthesis	Amino Acid Biosynthesis
COMPLETE-ARO-PWY: superpathway of aromatic amino acid biosynthesis	Cardiobacterium_hominis	6.335e-06	mix	Biosynthesis	Amino Acid Biosynthesis
COMPLETE-ARO-PWY: superpathway of aromatic amino acid biosynthesis	Haemophilus_haemolyticus	7.0827e-05	mix	Biosynthesis	Amino Acid Biosynthesis
COMPLETE-ARO-PWY: superpathway of aromatic amino acid biosynthesis	Neisseria_meningitidis	1.177e-05	cluster1	Biosynthesis	Amino Acid Biosynthesis
COMPLETE-ARO-PWY: superpathway of aromatic amino acid biosynthesis	Neisseria_mucosa	0.000767398	cluster1	Biosynthesis	Amino Acid Biosynthesis
COMPLETE-ARO-PWY: superpathway of aromatic amino acid biosynthesis	Streptococcus_pneumoniae	0.011125142	cluster2	Biosynthesis	Amino Acid Biosynthesis
COMPLETE-ARO-PWY: superpathway of aromatic amino acid biosynthesis	Haemophilus_parahaemolyticus	0.000151535	cluster2	Biosynthesis	Amino Acid Biosynthesis
COMPLETE-ARO-PWY: superpathway of aromatic amino acid biosynthesis	Streptococcus_parasanguinis	0.003002247	cluster1	Biosynthesis	Amino Acid Biosynthesis
COMPLETE-ARO-PWY: superpathway of aromatic amino acid biosynthesis	Prevotella_dentalis	2.46e-06	mix	Biosynthesis	Amino Acid Biosynthesis
COMPLETE-ARO-PWY: superpathway of aromatic amino acid biosynthesis	Streptococcus_agalactiae	0.00030068	cluster2	Biosynthesis	Amino Acid Biosynthesis
COMPLETE-ARO-PWY: superpathway of aromatic amino acid biosynthesis	Streptococcus_oralis	0.003130929	mix	Biosynthesis	Amino Acid Biosynthesis
COMPLETE-ARO-PWY: superpathway of aromatic amino acid biosynthesis	Haemophilus_influenzae	0.000464005	mix	Biosynthesis	Amino Acid Biosynthesis
DARABCATK12-PWY: D-arabinose degradation I	Haemophilus_parahaemolyticus	2.0447e-05	cluster2	Degradation/Utilization/Assimilation	Carbohydrate Degradation
FOLSYN-PWY: superpathway of tetrahydrofolate biosynthesis and salvage	Streptococcus_pneumoniae	0.006510309	cluster2	Biosynthesis	"Cofactor, Carrier, and Vitamin Biosynthesis"
FOLSYN-PWY: superpathway of tetrahydrofolate biosynthesis and salvage	Streptococcus_oralis	0.002340425	mix	Biosynthesis	"Cofactor, Carrier, and Vitamin Biosynthesis"
FOLSYN-PWY: superpathway of tetrahydrofolate biosynthesis and salvage	Haemophilus_haemolyticus	3.2313e-05	mix	Biosynthesis	"Cofactor, Carrier, and Vitamin Biosynthesis"
FOLSYN-PWY: superpathway of tetrahydrofolate biosynthesis and salvage	Haemophilus_influenzae	3.602e-05	mix	Biosynthesis	"Cofactor, Carrier, and Vitamin Biosynthesis"
FOLSYN-PWY: superpathway of tetrahydrofolate biosynthesis and salvage	Streptococcus_mitis	0.006716603	cluster2	Biosynthesis	"Cofactor, Carrier, and Vitamin Biosynthesis"
GLUCOSE1PMETAB-PWY: glucose and glucose-1-phosphate degradation	Cardiobacterium_hominis	2.8546e-05	mix	Degradation/Utilization/Assimilation	Carbohydrate Degradation
GLYCOLYSIS: glycolysis I (from glucose 6-phosphate)	Haemophilus_haemolyticus	0.000133333	mix	Generation of Precursor Metabolites and Energy	Glycolysis
GLYCOLYSIS: glycolysis I (from glucose 6-phosphate)	Streptococcus_pneumoniae	0.000322237	cluster2	Generation of Precursor Metabolites and Energy	Glycolysis
GLYCOLYSIS: glycolysis I (from glucose 6-phosphate)	Haemophilus_parahaemolyticus	6.202e-05	cluster2	Generation of Precursor Metabolites and Energy	Glycolysis
GLYCOLYSIS: glycolysis I (from glucose 6-phosphate)	Haemophilus_influenzae	0.000101483	mix	Generation of Precursor Metabolites and Energy	Glycolysis
HOMOSER-METSYN-PWY: L-methionine biosynthesis I	Streptococcus_pneumoniae	8.0113e-05	cluster2	Biosynthesis	Amino Acid Biosynthesis
HOMOSER-METSYN-PWY: L-methionine biosynthesis I	Haemophilus_haemolyticus	0.000131161	mix	Biosynthesis	Amino Acid Biosynthesis
HOMOSER-METSYN-PWY: L-methionine biosynthesis I	Haemophilus_influenzae	0.0002472565	mix	Biosynthesis	Amino Acid Biosynthesis
ILEUSYN-PWY: L-isoleucine biosynthesis I (from threonine)	Haemophilus_parahaemolyticus	0.000245695	cluster2	Biosynthesis	Amino Acid Biosynthesis
ILEUSYN-PWY: L-isoleucine biosynthesis I (from threonine)	Streptococcus_australis	0.000890967	mix	Biosynthesis	Amino Acid Biosynthesis
ILEUSYN-PWY: L-isoleucine biosynthesis I (from threonine)	Haemophilus_haemolyticus	0.000186068	mix	Biosynthesis	Amino Acid Biosynthesis
ILEUSYN-PWY: L-isoleucine biosynthesis I (from threonine)	Haemophilus_influenzae	0.0003678211	mix	Biosynthesis	Amino Acid Biosynthesis
ILEUSYN-PWY: L-isoleucine biosynthesis I (from threonine)	Veillonella_atypica	0.001185068	cluster1	Biosynthesis	Amino Acid Biosynthesis
ILEUSYN-PWY: L-isoleucine biosynthesis I (from threonine)	Streptococcus_mitis	0.009352531	cluster2	Biosynthesis	Amino Acid Biosynthesis
ILEUSYN-PWY: L-isoleucine biosynthesis I (from threonine)	Prevotella_oris	7.9198e-05	cluster1	Biosynthesis	Amino Acid Biosynthesis
ILEUSYN-PWY: L-isoleucine biosynthesis I (from threonine)	Streptococcus_parasanguinis	0.003460161	cluster1	Biosynthesis	Amino Acid Biosynthesis
ILEUSYN-PWY: L-isoleucine biosynthesis I (from threonine)	Streptococcus_pseudopneumoniae	0.002120244	cluster2	Biosynthesis	Amino Acid Biosynthesis
ILEUSYN-PWY: L-isoleucine biosynthesis I (from threonine)	Actinomyces_sp_oral_taxon_897	8.247e-06	cluster1	Biosynthesis	Amino Acid Biosynthesis
ILEUSYN-PWY: L-isoleucine biosynthesis I (from threonine)	Streptococcus_oralis	0.002676916	mix	Biosynthesis	Amino Acid Biosynthesis
ILEUSYN-PWY: L-isoleucine biosynthesis I (from threonine)	Streptococcus_pneumoniae	0.011152843	cluster2	Biosynthesis	Amino Acid Biosynthesis
ILEUSYN-PWY: L-isoleucine biosynthesis I (from threonine)	Cardiobacterium_hominis	1.8005e-05	mix	Biosynthesis	Amino Acid Biosynthesis
LACTOSECAT-PWY: lactose and galactose degradation I	Streptococcus_pseudopneumoniae	0.005881373	cluster2	Degradation/Utilization/Assimilation	Carbohydrate Degradation
LACTOSECAT-PWY: lactose and galactose degradation I	Streptococcus_australis	0.002356062	mix	Degradation/Utilization/Assimilation	Carbohydrate Degradation
LACTOSECAT-PWY: lactose and galactose degradation I	Streptococcus_mitis	0.015854378	cluster2	Degradation/Utilization/Assimilation	Carbohydrate Degradation
LACTOSECAT-PWY: lactose and galactose degradation I	Streptococcus_oralis	0.0059033	mix	Degradation/Utilization/Assimilation	Carbohydrate Degradation
LACTOSECAT-PWY: lactose and galactose degradation I	Streptococcus_agalactiae	0.000523322	cluster2	Degradation/Utilization/Assimilation	Carbohydrate Degradation
LACTOSECAT-PWY: lactose and galactose degradation I	Streptococcus_parasanguinis	0.005991317	cluster1	Degradation/Utilization/Assimilation	Carbohydrate Degradation
LACTOSECAT-PWY: lactose and galactose degradation I	Streptococcus_pneumoniae	0.006522515	cluster2	Degradation/Utilization/Assimilation	Carbohydrate Degradation
MET-SAM-PWY: superpathway of S-adenosyl-L-methionine biosynthesis	Haemophilus_haemolyticus	0.000142456	mix	Superpathways	Superpathways
MET-SAM-PWY: superpathway of S-adenosyl-L-methionine biosynthesis	Haemophilus_influenzae	0.0001271677	mix	Superpathways	Superpathways
MET-SAM-PWY: superpathway of S-adenosyl-L-methionine biosynthesis	Streptococcus_pneumoniae	0.000105723	cluster2	Superpathways	Superpathways
METSYN-PWY: superpathway of L-homoserine and L-methionine biosynthesis	Streptococcus_pneumoniae	0.000135274	cluster2	Biosynthesis	Amino Acid Biosynthesis
METSYN-PWY: superpathway of L-homoserine and L-methionine biosynthesis	Haemophilus_influenzae	0.0001197468	mix	Biosynthesis	Amino Acid Biosynthesis
METSYN-PWY: superpathway of L-homoserine and L-methionine biosynthesis	Haemophilus_haemolyticus	0.000159265	mix	Biosynthesis	Amino Acid Biosynthesis
NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch) I	Streptococcus_mitis	0.008109617	cluster2	Generation of Precursor Metabolites and Energy	Pentose Phosphate Pathways
NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch) I	Streptococcus_pseudopneumoniae	0.005111576	cluster2	Generation of Precursor Metabolites and Energy	Pentose Phosphate Pathways
NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch) I	Prevotella_dentalis	1.6e-06	mix	Generation of Precursor Metabolites and Energy	Pentose Phosphate Pathways
NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch) I	Capnocytophaga_gingivalis	4.6982e-05	cluster1	Generation of Precursor Metabolites and Energy	Pentose Phosphate Pathways
NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch) I	Gemella_haemolysans	0.002016898	cluster2	Generation of Precursor Metabolites and Energy	Pentose Phosphate Pathways
NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch) I	Neisseria_meningitidis	4.16901e-05	cluster1	Generation of Precursor Metabolites and Energy	Pentose Phosphate Pathways
NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch) I	Streptococcus_pneumoniae	0.00842728	cluster2	Generation of Precursor Metabolites and Energy	Pentose Phosphate Pathways
NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch) I	Streptococcus_parasanguinis	0.001732319	cluster1	Generation of Precursor Metabolites and Energy	Pentose Phosphate Pathways
NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch) I	Porphyromonas_endodontalis	0.000908845	cluster1	Generation of Precursor Metabolites and Energy	Pentose Phosphate Pathways
NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch) I	Neisseria_mucosa	0.0007286956	cluster1	Generation of Precursor Metabolites and Energy	Pentose Phosphate Pathways
